Academic Year,District ID,District,School ID,School,Subject,Student Group,Grade Level,Number Proficient (Level 3 or 4),Percent Proficient (Level 3 or 4),Number Level 4,Percent Level 4,Number Level 3,Percent Level 3,Number Level 2,Percent Level 2,Number Level 1,Percent Level 1,Number of Participants,Participation Rate
2016-2017,2111,Annex SD 29,705,Annex Charter School,English Language Arts,Students with Disabilities (SWD),All Grades,< 5.0%,< 5.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,2111,Annex SD 29,705,Annex Charter School,English Language Arts,Talented and Gifted (TAG),All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2111,Annex SD 29,705,Annex Charter School,English Language Arts,Total Population (All Students),All Grades,12,23.5,4,7.8,8,15.7,19,37.3,20,39.2,51,100.0
2016-2017,2111,Annex SD 29,705,Annex Charter School,English Language Arts,White,All Grades,8,27.6,4,13.8,4,13.8,10,34.5,11,37.9,29,100.0
2016-2017,2005,Arlington SD 3,323,Arlington Community Charter School,English Language Arts,Asian,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2005,Arlington SD 3,323,Arlington Community Charter School,English Language Arts,Black/African American,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2005,Arlington SD 3,323,Arlington Community Charter School,English Language Arts,Econo. Disadvantaged,All Grades,27,73.0,5,13.5,22,59.5,7,18.9,3,8.1,37,100.0
2016-2017,2005,Arlington SD 3,323,Arlington Community Charter School,English Language Arts,Extended Assessment,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2005,Arlington SD 3,323,Arlington Community Charter School,English Language Arts,Female,All Grades,28,77.8,11,30.6,17,47.2,6,16.7,2,5.6,36,100.0
2016-2017,2005,Arlington SD 3,323,Arlington Community Charter School,English Language Arts,Hispanic/Latino,All Grades,5,55.6,0,0.0,5,55.6,2,22.2,2,22.2,9,100.0
2016-2017,2005,Arlington SD 3,323,Arlington Community Charter School,English Language Arts,American Indian/Alaskan Native,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2005,Arlington SD 3,323,Arlington Community Charter School,English Language Arts,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2005,Arlington SD 3,323,Arlington Community Charter School,English Language Arts,English Learners,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2005,Arlington SD 3,323,Arlington Community Charter School,English Language Arts,Male,All Grades,24,66.7,4,11.1,20,55.6,8,22.2,4,11.1,36,100.0
2016-2017,2005,Arlington SD 3,323,Arlington Community Charter School,English Language Arts,Migrant Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2005,Arlington SD 3,323,Arlington Community Charter School,English Language Arts,Multi-Racial,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2005,Arlington SD 3,323,Arlington Community Charter School,English Language Arts,Pacific Islander,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2005,Arlington SD 3,323,Arlington Community Charter School,English Language Arts,SWD with Accommodations,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2005,Arlington SD 3,323,Arlington Community Charter School,English Language Arts,Students with Disabilities (SWD),All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2005,Arlington SD 3,323,Arlington Community Charter School,English Language Arts,Talented and Gifted (TAG),All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2005,Arlington SD 3,323,Arlington Community Charter School,English Language Arts,Total Population (All Students),All Grades,52,72.2,15,20.8,37,51.4,14,19.4,6,8.3,72,100.0
2016-2017,2005,Arlington SD 3,323,Arlington Community Charter School,English Language Arts,White,All Grades,43,75.4,14,24.6,29,50.9,10,17.5,4,7.0,57,100.0
2016-2017,2115,Arock SD 81,711,W W Jones Elementary School,English Language Arts,Asian,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2115,Arock SD 81,711,W W Jones Elementary School,English Language Arts,Black/African American,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2115,Arock SD 81,711,W W Jones Elementary School,English Language Arts,Econo. Disadvantaged,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2115,Arock SD 81,711,W W Jones Elementary School,English Language Arts,Extended Assessment,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2115,Arock SD 81,711,W W Jones Elementary School,English Language Arts,Female,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2115,Arock SD 81,711,W W Jones Elementary School,English Language Arts,Hispanic/Latino,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2115,Arock SD 81,711,W W Jones Elementary School,English Language Arts,American Indian/Alaskan Native,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2115,Arock SD 81,711,W W Jones Elementary School,English Language Arts,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2115,Arock SD 81,711,W W Jones Elementary School,English Language Arts,English Learners,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2115,Arock SD 81,711,W W Jones Elementary School,English Language Arts,Male,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2115,Arock SD 81,711,W W Jones Elementary School,English Language Arts,Migrant Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2115,Arock SD 81,711,W W Jones Elementary School,English Language Arts,Multi-Racial,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2115,Arock SD 81,711,W W Jones Elementary School,English Language Arts,Pacific Islander,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2115,Arock SD 81,711,W W Jones Elementary School,English Language Arts,SWD with Accommodations,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2115,Arock SD 81,711,W W Jones Elementary School,English Language Arts,Students with Disabilities (SWD),All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2115,Arock SD 81,711,W W Jones Elementary School,English Language Arts,Talented and Gifted (TAG),All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2115,Arock SD 81,711,W W Jones Elementary School,English Language Arts,Total Population (All Students),All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2115,Arock SD 81,711,W W Jones Elementary School,English Language Arts,White,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2041,Ashland SD 5,381,Ashland High School,English Language Arts,Asian,All Grades,8,80.0,5,50.0,3,30.0,1,10.0,1,10.0,10,90.9
2016-2017,2041,Ashland SD 5,381,Ashland High School,English Language Arts,Black/African American,All Grades,4,66.7,2,33.3,2,33.3,2,33.3,0,0.0,6,100.0
2016-2017,2041,Ashland SD 5,381,Ashland High School,English Language Arts,Econo. Disadvantaged,All Grades,54,76.1,25,35.2,29,40.8,11,15.5,6,8.5,71,93.4
2016-2017,2041,Ashland SD 5,381,Ashland High School,English Language Arts,Extended Assessment,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2041,Ashland SD 5,381,Ashland High School,English Language Arts,Female,All Grades,107,88.4,62,51.2,45,37.2,8,6.6,6,5.0,121,93.1
2016-2017,2041,Ashland SD 5,381,Ashland High School,English Language Arts,Hispanic/Latino,All Grades,10,71.4,5,35.7,5,35.7,4,28.6,0,0.0,15,100.0
2016-2017,2041,Ashland SD 5,381,Ashland High School,English Language Arts,American Indian/Alaskan Native,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2041,Ashland SD 5,381,Ashland High School,English Language Arts,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2041,Ashland SD 5,381,Ashland High School,English Language Arts,English Learners,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2041,Ashland SD 5,381,Ashland High School,English Language Arts,Male,All Grades,91,85.8,51,48.1,40,37.7,12,11.3,3,2.8,107,95.5
2016-2017,2041,Ashland SD 5,381,Ashland High School,English Language Arts,Migrant Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2041,Ashland SD 5,381,Ashland High School,English Language Arts,Multi-Racial,All Grades,> 95.0%,> 95.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,2041,Ashland SD 5,381,Ashland High School,English Language Arts,Pacific Islander,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2041,Ashland SD 5,381,Ashland High School,English Language Arts,SWD with Accommodations,All Grades,4,30.8,0,0.0,4,30.8,6,46.2,3,23.1,13,100.0
2016-2017,2041,Ashland SD 5,381,Ashland High School,English Language Arts,Students with Disabilities (SWD),All Grades,18,64.3,6,21.4,12,42.9,7,25.0,3,10.7,28,100.0
2016-2017,2041,Ashland SD 5,381,Ashland High School,English Language Arts,Talented and Gifted (TAG),All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2041,Ashland SD 5,381,Ashland High School,English Language Arts,Total Population (All Students),All Grades,198,87.2,113,49.8,85,37.4,20,8.8,9,4.0,228,94.2
2016-2017,2041,Ashland SD 5,381,Ashland High School,English Language Arts,White,All Grades,161,89.0,94,51.9,67,37.0,12,6.6,8,4.4,181,93.8
2016-2017,2041,Ashland SD 5,380,Ashland Middle School,English Language Arts,Asian,All Grades,5,62.5,0,0.0,5,62.5,2,25.0,1,12.5,9,100.0
2016-2017,2041,Ashland SD 5,380,Ashland Middle School,English Language Arts,Black/African American,All Grades,8,66.7,5,41.7,3,25.0,3,25.0,1,8.3,12,100.0
2016-2017,2041,Ashland SD 5,380,Ashland Middle School,English Language Arts,Econo. Disadvantaged,All Grades,149,63.7,56,23.9,93,39.7,52,22.2,33,14.1,235,98.7
2016-2017,2041,Ashland SD 5,380,Ashland Middle School,English Language Arts,Extended Assessment,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2041,Ashland SD 5,380,Ashland Middle School,English Language Arts,Female,All Grades,216,78.8,104,38.0,112,40.9,41,15.0,17,6.2,274,99.6
2016-2017,2041,Ashland SD 5,380,Ashland Middle School,English Language Arts,Hispanic/Latino,All Grades,22,47.8,6,13.0,16,34.8,12,26.1,12,26.1,46,100.0
2016-2017,2041,Ashland SD 5,380,Ashland Middle School,English Language Arts,American Indian/Alaskan Native,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2041,Ashland SD 5,380,Ashland Middle School,English Language Arts,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2041,Ashland SD 5,380,Ashland Middle School,English Language Arts,English Learners,All Grades,1,16.7,0,0.0,1,16.7,2,33.3,3,50.0,7,100.0
2016-2017,2041,Ashland SD 5,380,Ashland Middle School,English Language Arts,Male,All Grades,199,71.6,69,24.8,130,46.8,48,17.3,31,11.2,279,98.6
2016-2017,2041,Ashland SD 5,380,Ashland Middle School,English Language Arts,Migrant Education,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2041,Ashland SD 5,380,Ashland Middle School,English Language Arts,Multi-Racial,All Grades,42,80.8,13,25.0,29,55.8,3,5.8,7,13.5,52,98.1
2016-2017,2041,Ashland SD 5,380,Ashland Middle School,English Language Arts,Pacific Islander,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2041,Ashland SD 5,380,Ashland Middle School,English Language Arts,SWD with Accommodations,All Grades,2,6.1,0,0.0,2,6.1,14,42.4,17,51.5,33,100.0
2016-2017,2041,Ashland SD 5,380,Ashland Middle School,English Language Arts,Students with Disabilities (SWD),All Grades,15,24.6,1,1.6,14,23.0,21,34.4,25,41.0,61,98.4
2016-2017,2041,Ashland SD 5,380,Ashland Middle School,English Language Arts,Talented and Gifted (TAG),All Grades,> 95.0%,> 95.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,2041,Ashland SD 5,380,Ashland Middle School,English Language Arts,Total Population (All Students),All Grades,415,75.2,173,31.3,242,43.8,89,16.1,48,8.7,553,99.1
2016-2017,2041,Ashland SD 5,380,Ashland Middle School,English Language Arts,White,All Grades,336,78.0,148,34.3,188,43.6,68,15.8,27,6.3,431,99.1
2016-2017,2041,Ashland SD 5,375,Bellview Elementary School,English Language Arts,Asian,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2041,Ashland SD 5,375,Bellview Elementary School,English Language Arts,Black/African American,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2041,Ashland SD 5,375,Bellview Elementary School,English Language Arts,Econo. Disadvantaged,All Grades,32,54.2,14,23.7,18,30.5,14,23.7,13,22.0,59,98.3
2016-2017,2041,Ashland SD 5,375,Bellview Elementary School,English Language Arts,Extended Assessment,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2041,Ashland SD 5,375,Bellview Elementary School,English Language Arts,Female,All Grades,52,71.2,31,42.5,21,28.8,13,17.8,8,11.0,73,98.6
2016-2017,2041,Ashland SD 5,375,Bellview Elementary School,English Language Arts,Hispanic/Latino,All Grades,10,76.9,6,46.2,4,30.8,2,15.4,1,7.7,13,100.0
2016-2017,2041,Ashland SD 5,375,Bellview Elementary School,English Language Arts,American Indian/Alaskan Native,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2041,Ashland SD 5,375,Bellview Elementary School,English Language Arts,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2041,Ashland SD 5,375,Bellview Elementary School,English Language Arts,English Learners,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2041,Ashland SD 5,375,Bellview Elementary School,English Language Arts,Male,All Grades,59,68.6,37,43.0,22,25.6,14,16.3,13,15.1,86,98.9
2016-2017,2041,Ashland SD 5,375,Bellview Elementary School,English Language Arts,Migrant Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2041,Ashland SD 5,375,Bellview Elementary School,English Language Arts,Multi-Racial,All Grades,5,55.6,2,22.2,3,33.3,2,22.2,2,22.2,9,100.0
2016-2017,2041,Ashland SD 5,375,Bellview Elementary School,English Language Arts,Pacific Islander,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2041,Ashland SD 5,375,Bellview Elementary School,English Language Arts,SWD with Accommodations,All Grades,2,18.2,0,0.0,2,18.2,3,27.3,6,54.5,11,100.0
2016-2017,2041,Ashland SD 5,375,Bellview Elementary School,English Language Arts,Students with Disabilities (SWD),All Grades,11,47.8,6,26.1,5,21.7,5,21.7,7,30.4,23,92.0
2016-2017,2041,Ashland SD 5,375,Bellview Elementary School,English Language Arts,Talented and Gifted (TAG),All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2041,Ashland SD 5,375,Bellview Elementary School,English Language Arts,Total Population (All Students),All Grades,111,69.8,68,42.8,43,27.0,27,17.0,21,13.2,159,98.8
2016-2017,2041,Ashland SD 5,375,Bellview Elementary School,English Language Arts,White,All Grades,93,70.5,59,44.7,34,25.8,23,17.4,16,12.1,132,99.2
2016-2017,2041,Ashland SD 5,377,Helman Elementary School,English Language Arts,Asian,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2041,Ashland SD 5,377,Helman Elementary School,English Language Arts,Black/African American,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2041,Ashland SD 5,377,Helman Elementary School,English Language Arts,Econo. Disadvantaged,All Grades,41,58.6,23,32.9,18,25.7,15,21.4,14,20.0,70,98.6
2016-2017,2041,Ashland SD 5,377,Helman Elementary School,English Language Arts,Extended Assessment,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2041,Ashland SD 5,377,Helman Elementary School,English Language Arts,Female,All Grades,62,68.9,46,51.1,16,17.8,16,17.8,12,13.3,90,98.9
2016-2017,2041,Ashland SD 5,377,Helman Elementary School,English Language Arts,Hispanic/Latino,All Grades,7,58.3,4,33.3,3,25.0,3,25.0,2,16.7,12,100.0
2016-2017,2041,Ashland SD 5,377,Helman Elementary School,English Language Arts,American Indian/Alaskan Native,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2041,Ashland SD 5,377,Helman Elementary School,English Language Arts,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2041,Ashland SD 5,377,Helman Elementary School,English Language Arts,English Learners,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2041,Ashland SD 5,377,Helman Elementary School,English Language Arts,Male,All Grades,51,58.6,25,28.7,26,29.9,20,23.0,16,18.4,87,96.7
2016-2017,2041,Ashland SD 5,377,Helman Elementary School,English Language Arts,Migrant Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2041,Ashland SD 5,377,Helman Elementary School,English Language Arts,Multi-Racial,All Grades,16,69.6,4,17.4,12,52.2,4,17.4,3,13.0,23,100.0
2016-2017,2041,Ashland SD 5,377,Helman Elementary School,English Language Arts,Pacific Islander,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2041,Ashland SD 5,377,Helman Elementary School,English Language Arts,SWD with Accommodations,All Grades,< 5.0%,< 5.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,2041,Ashland SD 5,377,Helman Elementary School,English Language Arts,Students with Disabilities (SWD),All Grades,6,20.7,1,3.4,5,17.2,9,31.0,14,48.3,29,93.5
2016-2017,2041,Ashland SD 5,377,Helman Elementary School,English Language Arts,Talented and Gifted (TAG),All Grades,> 95.0%,> 95.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,2041,Ashland SD 5,377,Helman Elementary School,English Language Arts,Total Population (All Students),All Grades,113,63.8,71,40.1,42,23.7,36,20.3,28,15.8,177,97.8
2016-2017,2041,Ashland SD 5,377,Helman Elementary School,English Language Arts,White,All Grades,89,64.5,62,44.9,27,19.6,29,21.0,20,14.5,138,97.2
2016-2017,2041,Ashland SD 5,4476,John Muir Elementary School,English Language Arts,Asian,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2041,Ashland SD 5,4476,John Muir Elementary School,English Language Arts,Black/African American,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2041,Ashland SD 5,4476,John Muir Elementary School,English Language Arts,Econo. Disadvantaged,All Grades,36,76.6,20,42.6,16,34.0,7,14.9,4,8.5,47,100.0
2016-2017,2041,Ashland SD 5,4476,John Muir Elementary School,English Language Arts,Extended Assessment,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2041,Ashland SD 5,4476,John Muir Elementary School,English Language Arts,Female,All Grades,32,82.1,23,59.0,9,23.1,5,12.8,2,5.1,39,100.0
2016-2017,2041,Ashland SD 5,4476,John Muir Elementary School,English Language Arts,Hispanic/Latino,All Grades,6,66.7,2,22.2,4,44.4,2,22.2,1,11.1,9,100.0
2016-2017,2041,Ashland SD 5,4476,John Muir Elementary School,English Language Arts,American Indian/Alaskan Native,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2041,Ashland SD 5,4476,John Muir Elementary School,English Language Arts,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2041,Ashland SD 5,4476,John Muir Elementary School,English Language Arts,English Learners,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2041,Ashland SD 5,4476,John Muir Elementary School,English Language Arts,Male,All Grades,33,71.7,15,32.6,18,39.1,8,17.4,5,10.9,46,97.9
2016-2017,2041,Ashland SD 5,4476,John Muir Elementary School,English Language Arts,Migrant Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2041,Ashland SD 5,4476,John Muir Elementary School,English Language Arts,Multi-Racial,All Grades,10,76.9,6,46.2,4,30.8,3,23.1,0,0.0,13,100.0
2016-2017,2041,Ashland SD 5,4476,John Muir Elementary School,English Language Arts,Pacific Islander,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2041,Ashland SD 5,4476,John Muir Elementary School,English Language Arts,SWD with Accommodations,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2041,Ashland SD 5,4476,John Muir Elementary School,English Language Arts,Students with Disabilities (SWD),All Grades,7,53.8,1,7.7,6,46.2,5,38.5,1,7.7,13,100.0
2016-2017,2041,Ashland SD 5,4476,John Muir Elementary School,English Language Arts,Talented and Gifted (TAG),All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2041,Ashland SD 5,4476,John Muir Elementary School,English Language Arts,Total Population (All Students),All Grades,65,76.5,38,44.7,27,31.8,13,15.3,7,8.2,85,98.8
2016-2017,2041,Ashland SD 5,4476,John Muir Elementary School,English Language Arts,White,All Grades,48,82.8,30,51.7,18,31.0,7,12.1,3,5.2,58,98.3
2016-2017,2041,Ashland SD 5,379,Walker Elementary School,English Language Arts,Asian,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2041,Ashland SD 5,379,Walker Elementary School,English Language Arts,Black/African American,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2041,Ashland SD 5,379,Walker Elementary School,English Language Arts,Econo. Disadvantaged,All Grades,32,42.1,11,14.5,21,27.6,17,22.4,27,35.5,77,97.5
2016-2017,2041,Ashland SD 5,379,Walker Elementary School,English Language Arts,Extended Assessment,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2041,Ashland SD 5,379,Walker Elementary School,English Language Arts,Female,All Grades,39,65.0,17,28.3,22,36.7,12,20.0,9,15.0,60,92.3
2016-2017,2041,Ashland SD 5,379,Walker Elementary School,English Language Arts,Hispanic/Latino,All Grades,6,33.3,2,11.1,4,22.2,4,22.2,8,44.4,18,100.0
