school,city,county,district,esd,governance,ods.participation,ods.grades,ods.camp,ods.days,ods.nights,ods.academic.component,ods.total.students,curriculum.outside.provider,curriculum.school.district.staff,curriculum.volunteers,staffing.provider.staff,staffing.hs.mentors,staffing.parents.volunteers,staffing.community.experts,staffing.other,ela.numeric,math.numeric,science.numeric,frl,pct.white,lon,lat,ods.camp_1,ods.camp_2,ods.camp_3,ods.camp_4,ods.camp_5
Forest Ridge Elementary School,Keizer,Marion,Salem-Keizer SD 24J,Willamette ESD,Public,No,"",,,,,,,,,,,,,,0.6609999999999999,0.486,0.861,0.377,0.721,-123.0199748,45.0337149,,,,,
Fossil Charter School,Fossil,Wheeler,Fossil SD 21J,North Central ESD,Public,No,"",,,,,,,,,,,,,,0.7040000000000001,0.475,0.845,0.0876,0.8540000000000001,-120.2135482,45.0021699,,,,,
Foster Elementary School,Foster,Linn,Sweet Home SD 55,Linn Benton Lincoln ESD,Public,Yes,"",,,,,,,,,,,,,,0.36700000000000005,0.344,0.625,0.7404999999999999,0.872,-122.670886,44.410506,,,,,
Four Corners Elementary School,Salem,Marion,Salem-Keizer SD 24J,Willamette ESD,Public,Yes,5,Camp Angelos,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",7,Yes,No,No,Yes,No,No,No,No,0.22,0.162,0.2,0.8809,0.23399999999999999,-122.9759501,44.9228676,Camp Angelos,,,,
Four Rivers Community School,Ontario,Malheur,Oregon Department of Education,Oregon Department of Education,Public,No,"",,,,,,,,,,,,,,0.418,0.33299999999999996,0.48,0.7857,0.193,-116.99877,44.025605,,,,,
Fowler Middle School,Tigard,Washington,Tigard-Tualatin SD 23J,Northwest Regional ESD,Public,Yes,6,"Cedar Ridge,Trickle Creek",3,2,"Yes, and it CONNECTS TO STATE STANDARDS",126,,,,,,,,,0.621,0.535,0.737,0.3529,0.601,-122.788546,45.432256,Cedar Ridge,Trickle Creek,,,
Franciscan Montessori Earth School,Portland,Multnomah,Private,Private,Private,Yes,"6, 7, 8, 9, 10, 11, 12",Coastal Discovery Center at Camp Gray,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",24,Yes,No,No,Yes,No,Yes,No,No,,,,,,-122.5113069,45.5018909,Coastal Discovery Center at Camp Gray,,,,
Free Orchards Elementary School,Cornelius,Washington,Hillsboro SD 1J,Northwest Regional ESD,Public,Yes,6,Camp Magruder,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",74,,,,,,,,,0.39299999999999996,0.295,0.429,0.6984999999999999,0.34299999999999997,-123.0415047,45.5175621,Camp Magruder,,,,
Freewater Elementary School,Milton-Freewater,Umatilla,Milton-Freewater Unified SD 7,InterMountain ESD,Public,Yes,5,Harris Park,1,0,,,No,Yes,No,,,,,,0.43700000000000006,0.326,0.743,0.8768,0.409,-118.3986877,45.943399,Harris Park,,,,
Fremont/Hay Elementary School,Lakeview,Lake,Lake County SD 7,Lake ESD,Public,No,"",,,,,,,,,,,,,,0.51,0.53,0.6779999999999999,0.5634,0.715,-120.350097,42.1834479,,,,,
French American International School,Portland,Multnomah,Private,Private,Private,Yes,6,Hancock Field Station,4,3,"Yes, and it CONNECTS TO STATE STANDARDS",71,Yes,No,No,,,,,,,,,,,-122.7636134,45.5289294,Hancock Field Station,,,,
French Prairie Middle School,Woodburn,Marion,Woodburn SD 103,Willamette ESD,Public,No,"",,,,,,,,,,,,,,0.385,0.20800000000000002,0.251,0.7315,0.105,-122.8600416,45.1507205,,,,,
Frenchglen Elementary School,Frenchglen,Harney,Frenchglen SD 16,Harney ESD,Public,No,"",,,,,,,,,,,,,,0.5,0.25,,,1,-118.9144652,42.826405,,,,,
Frontier Education of Oregon (Sterling Education),Milwaukie,Clackamas,Private,Private,Private,No,"",,,,,,,,,,,,,,,,,,,-122.586321,45.4345049,,,,,
Fruitdale Elementary School,Grants Pass,Josephine,Three Rivers/Josephine County SD,Southern Oregon ESD,Public,No,"",,,,,,,,,,,,,,0.62,0.542,0.8440000000000001,0.7005,0.805,-123.3116443,42.4204493,,,,,
Fullerton IV Elementary School,Roseburg,Douglas,Douglas County SD 4,Douglas ESD,Public,No,"",,,,,,,,,,,,,,0.413,0.337,0.727,0.7190000000000001,0.799,-123.381142,43.217632,,,,,
Gaarde Christian School,Tigard,Washington,Private,Private,Private,Yes,6,,4,3,,10,,,,,,,,,,,,,,-122.7932537,45.4191966,,,,,
Gardiner Middle School,Oregon City,Clackamas,Oregon City SD 62,Clackamas ESD,Public,Yes,6,Camp Magruder,4,3,"Yes, and it CONNECTS TO STATE STANDARDS",260,Yes,No,No,Yes,Yes,No,No,No,0.6409999999999999,0.409,0.6679999999999999,0.3506,0.727,-122.6012313,45.3396323,Camp Magruder,,,,
Gaston Elementary School,Gaston,Washington,Gaston SD 511J,Northwest Regional ESD,Public,Yes,"",Trickle Creek,4,3,"Yes, and it CONNECTS TO STATE STANDARDS",,,,,,,,,,0.522,0.439,0.818,0.4852,0.8220000000000001,-123.1419557,45.4358384,Trickle Creek,,,,
Gearhart Elementary School,Gearhart,Clatsop,Seaside SD 10,Northwest Regional ESD,Public,Yes,5,Cedar Ridge,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",56,,,,,,,,,0.423,0.327,0.6729999999999999,0.5542,0.731,-123.914234,46.024388,Cedar Ridge,,,,
George Middle School,Portland,Multnomah,Portland SD 1J,Multnomah ESD,Public,Yes,6,"Camp Angelos,Camp Arrah Wanna,Canby Grove,Camp Howard,Camp Namanu",6,5,"Yes, and it CONNECTS TO STATE STANDARDS",128,Yes,No,No,Yes,No,No,No,No,0.28600000000000003,0.098,0.272,0.8579000000000001,0.226,-122.7364261,45.5960948,Camp Angelos,Camp Arrah Wanna,Canby Grove,Camp Howard,Camp Namanu
German American School Of Portland,Beaverton,Washington,Private,Private,Private,Yes,5,Coastal Discovery Center at Camp Gray,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",22,Yes,No,No,Yes,No,Yes,No,No,,,,,,-122.8253611,45.4916484,Coastal Discovery Center at Camp Gray,,,,
Gilchrist Elementary School,Gilchrist,Klamath,Klamath County SD,Southern Oregon ESD,Public,No,"",,,,,,,,,,,,,,0.27399999999999997,0.145,0.688,,0.883,-121.684348,43.478044,,,,,
Gilham Elementary School,Eugene,Lane,Eugene SD 4J,Lane ESD,Public,No,"",,,,,,,,,,,,,,0.636,0.467,0.8170000000000001,0.354,0.75,-123.0768012,44.0994916,,,,,
Glendale Elementary School,Glendale,Douglas,Glendale SD 77,Douglas ESD,Public,No,"",,,,,,,,,,,,,,0.35700000000000004,0.175,0.368,0.7634000000000001,0.8059999999999999,-123.424593,42.735438,,,,,
Glide Elementary School,Glide,Douglas,Glide SD 12,Douglas ESD,Public,Yes,6,Coastal Discovery Center at Camp Gray,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",43,Yes,No,No,Yes,No,Yes,No,No,0.5,0.457,0.703,0.5690999999999999,0.867,-123.0875696,43.3081644,Coastal Discovery Center at Camp Gray,,,,
Gordon Russell Middle School,Gresham,Multnomah,Gresham-Barlow SD 10J,Multnomah ESD,Public,Yes,6,Camp Angelos,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",242,Yes,No,No,Yes,No,No,No,No,0.48,0.31,0.5489999999999999,0.5661,0.5820000000000001,-122.39634,45.492651,Camp Angelos,,,,
Grande Ronde Academy,La Grande,Union,Private,Private,Private,Yes,"4, 5",Blue Mountain Conservancy,2,0,"Yes, but it DOES NOT CONNECT TO STATE STANDARDS",53,No,No,Yes,No,No,Yes,Yes,No,,,,,,-118.1021349,45.3332234,Blue Mountain Conservancy,,,,
Grandhaven Elementary School,McMinnville,Yamhill,McMinnville SD 40,Willamette ESD,Public,Yes,5,Coastal Discovery Center at Camp Gray,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",112,Yes,No,No,Yes,Yes,Yes,No,No,0.541,0.5870000000000001,0.787,0.6769,0.523,-123.1873759,45.2323334,Coastal Discovery Center at Camp Gray,,,,
Grant Community School,Salem,Marion,Salem-Keizer SD 24J,Willamette ESD,Public,Yes,5,Canyonview Camp,2,1,,70,,,,,,,,,0.27899999999999997,0.22,0.40299999999999997,0.7506,0.425,-123.0270341,44.9505919,Canyonview Camp,,,,
Grants Pass Seventh-Day Adventist School,Grants Pass,Josephine,Private,Private,Private,Yes,"5, 6",Big Lake Youth Camp,4,3,,12,,,,,,,,,,,,,,-123.331217,42.466301,Big Lake Youth Camp,,,,
Gray Middle School,Portland,Multnomah,Portland SD 1J,Multnomah ESD,Public,Yes,6,"Camp Namanu,Camp Angelos",6,5,"Yes, and it CONNECTS TO STATE STANDARDS",165,Yes,Yes,No,Yes,No,No,No,No,0.7609999999999999,0.6459999999999999,0.797,0.21059999999999998,0.7559999999999999,-122.7014007,45.4825599,Camp Namanu,Camp Angelos,,,
Green Elementary School,Roseburg,Douglas,Douglas County SD 4,Douglas ESD,Public,No,"",,,,,,,,,,,,,,0.32899999999999996,0.268,0.6920000000000001,0.728,0.768,-123.383213,43.14929,,,,,
Griffin Creek Elementary School,Medford,Jackson,Medford SD 549C,Southern Oregon ESD,Public,No,"",,,,,,,,,,,,,,0.615,0.488,0.638,0.4464,0.759,-122.907616,42.293626,,,,,
Groner K-8,Hillsboro,Washington,Hillsboro SD 1J,Northwest Regional ESD,Public,Yes,6,Camp Magruder,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",27,Yes,No,No,Yes,No,No,No,No,0.33899999999999997,0.284,0.63,0.5091,0.609,-122.9203755,45.4187042,Camp Magruder,,,,
Gubser Elementary School,Keizer,Marion,Salem-Keizer SD 24J,Willamette ESD,Public,No,"",,,,,,,,,,,,,,0.581,0.474,0.885,0.4642,0.664,-123.0121669,45.0151801,,,,,
Guy Lee Elementary School,Springfield,Lane,Springfield SD 19,Lane ESD,Public,No,"",,,,,,,,,,,,,,0.284,0.212,0.34700000000000003,0.9412,0.524,-123.0387942,44.0698484,,,,,
Haines Elementary School,Haines,Baker,Baker SD 5J,InterMountain ESD,Public,Yes,6,Elkhorn Wildlife Management Area,4,0,"Yes, but it DOES NOT CONNECT TO STATE STANDARDS",22,Yes,No,No,Yes,No,Yes,Yes,No,0.733,0.628,0.727,0.43229999999999996,0.871,-117.933962,44.913803,Elkhorn Wildlife Management Area,,,,
Hallman Elementary School,Salem,Marion,Salem-Keizer SD 24J,Willamette ESD,Public,Yes,5,Canyonview Camp,3,2,,52,,,,,,,,,0.282,0.214,0.491,0.9445999999999999,0.22699999999999998,-122.9959388,44.977862,Canyonview Camp,,,,
Hamilton Creek School,Lebanon,Linn,Lebanon Community SD 9,Linn Benton Lincoln ESD,Public,Yes,6,Camp Tadmor,5,4,"Yes, but it DOES NOT CONNECT TO STATE STANDARDS",30,Yes,No,Yes,No,Yes,Yes,Yes,No,0.465,0.35700000000000004,0.483,0.5509000000000001,0.867,-122.8360565,44.5137822,Camp Tadmor,,,,
Hamlin Middle School,Springfield,Lane,Springfield SD 19,Lane ESD,Public,No,"",,,,,,,,,,,,,,0.364,0.217,0.415,0.861,0.564,-123.021456,44.0569735,,,,,
Hammond Elementary School,Salem,Marion,Salem-Keizer SD 24J,Willamette ESD,Public,No,"",,,,,,,,,,,,,,0.418,0.32799999999999996,0.506,0.746,0.32899999999999996,-122.956054,44.994225,,,,,
Hanby Middle School,Gold Hill,Jackson,Central Point SD 6,Southern Oregon ESD,Public,Yes,6,White Oaks Farm,2,1,"Yes, and it CONNECTS TO STATE STANDARDS",45,Yes,Yes,No,No,No,Yes,No,No,0.485,0.386,0.7909999999999999,0.6077,0.804,-123.0551162,42.4345005,White Oaks Farm,,,,
Happy Valley Middle School,Happy Valley,Clackamas,North Clackamas SD 12,Clackamas ESD,Public,Yes,6,"Cedar Ridge,Trickle Creek,Camp Westwind",4,3,"Yes, and it CONNECTS TO STATE STANDARDS",351,,,,,,,,,0.759,0.632,0.659,0.2079,0.6509999999999999,-122.517882,45.448786,Cedar Ridge,Trickle Creek,Camp Westwind,,
Harbor Lights Middle School,Bandon,Coos,Bandon SD 54,South Coast ESD,Public,No,"",,,,,,,,,,,,,,0.619,0.385,0.858,0.674,0.74,-124.4194621,43.1152945,,,,,
Harmony Montessori School,Portland,Multnomah,Private,Private,Private,Yes,8,Hancock Field Station,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",17,Yes,No,No,Yes,No,Yes,No,No,,,,,,-122.54,45.52,Hancock Field Station,,,,
Harrisburg Elementary School,Harrisburg,Linn,Harrisburg SD 7J,Linn Benton Lincoln ESD,Public,No,"",,,,,,,,,,,,,,0.45399999999999996,0.361,0.544,0.5693,0.8009999999999999,-123.1646717,44.2712455,,,,,
Harrisburg Middle School,Harrisburg,Linn,Harrisburg SD 7J,Linn Benton Lincoln ESD,Public,No,"",,,,,,,,,,,,,,0.47600000000000003,0.297,0.662,0.6513,0.821,-123.1661227,44.2722042,,,,,
Harrison Elementary School,Cottage Grove,Lane,South Lane SD 45J3,Lane ESD,Public,Yes,5,Camp Tadmor,4,3,"Yes, but it DOES NOT CONNECT TO STATE STANDARDS",75,Yes,Yes,No,No,Yes,Yes,No,No,0.473,0.415,0.851,0.6692,0.9229999999999999,-123.0585172,43.790417,Camp Tadmor,,,,
Harrison Park School,Portland,Multnomah,Portland SD 1J,Multnomah ESD,Public,Yes,6,"Camp Angelos,Canby Grove,Camp Howard",6,5,"Yes, and it CONNECTS TO STATE STANDARDS",44,Yes,No,No,Yes,No,No,No,No,0.38,0.344,0.34,0.843,0.23600000000000002,-122.5749076,45.5070371,Camp Angelos,Canby Grove,Camp Howard,,
Harritt Elementary School,Salem,Polk,Salem-Keizer SD 24J,Willamette ESD,Public,Yes,5,Canyonview Camp,2,1,,77,,,,,,,,,0.40399999999999997,0.322,0.595,0.6615000000000001,0.48100000000000004,-123.0632918,44.9644302,Canyonview Camp,,,,
Hauton B Lee Middle School,Portland,Multnomah,Reynolds SD 7,Multnomah ESD,Public,Yes,6,"Camp Howard,Camp Namanu",3,2,"Yes, and it CONNECTS TO STATE STANDARDS",240,Yes,No,No,Yes,No,No,No,No,0.302,0.17300000000000001,0.255,0.8020999999999999,0.22399999999999998,-122.4877994,45.531697,Camp Howard,Camp Namanu,,,
Hawthorne Elementary School,Sweet Home,Linn,Sweet Home SD 55,Linn Benton Lincoln ESD,Public,Yes,6,Camp Tadmor,2,0,,60,Yes,No,No,,,,,,0.36,0.311,0.535,0.6505,0.929,-122.7064131,44.3974783,Camp Tadmor,,,,
Hayesville Elementary School,Salem,Marion,Salem-Keizer SD 24J,Willamette ESD,Public,No,"",,,,,,,,,,,,,,0.266,0.251,0.5,0.8365,0.294,-122.971762,44.984329,,,,,
Hazelbrook Middle School,Tualatin,Washington,Tigard-Tualatin SD 23J,Northwest Regional ESD,Public,Yes,6,"Trickle Creek,Camp Magruder",3,2,"Yes, and it CONNECTS TO STATE STANDARDS",295,Yes,No,No,Yes,Yes,No,No,No,0.6509999999999999,0.48700000000000004,0.6679999999999999,0.3378,0.581,-122.7919484,45.3929507,Trickle Creek,Camp Magruder,,,
Health and Science School,Beaverton,Washington,Beaverton SD 48J,Northwest Regional ESD,Public,Yes,"",Camp Magruder,4,3,"Yes, and it CONNECTS TO STATE STANDARDS",112,,,,,,,,,0.721,0.55,,0.6054999999999999,0.462,-122.8693489,45.5270349,Camp Magruder,,,,
Hedrick Middle School,Medford,Jackson,Medford SD 549C,Southern Oregon ESD,Public,Yes,"",Mountain Lakes Bible Camp,2,1,,,,,,,,,,,0.6709999999999999,0.491,0.7440000000000001,0.4523,0.685,-122.8537156,42.331753,Mountain Lakes Bible Camp,,,,
Helix School,Helix,Umatilla,Helix SD 1,InterMountain ESD,Public,Yes,6,Camp Meadowood Springs,4,3,"Yes, and it CONNECTS TO STATE STANDARDS",15,No,Yes,No,No,Yes,No,Yes,No,0.5529999999999999,0.456,0.8220000000000001,,0.8270000000000001,-118.6537564,45.8507337,Camp Meadowood Springs,,,,
Helman Elementary School,Ashland,Jackson,Ashland SD 5,Southern Oregon ESD,Public,No,"",,,,,,,,,,,,,,0.638,0.602,0.833,0.381,0.81,-122.7132256,42.2091584,,,,,
Henley Elementary School,Klamath Falls,Klamath,Klamath County SD,Southern Oregon ESD,Public,Yes,6,Camp Westwind,4,3,"Yes, and it CONNECTS TO STATE STANDARDS",73,Yes,No,No,Yes,Yes,No,No,No,0.525,0.457,0.779,0.5449,0.7509999999999999,-121.6982852,42.1435504,Camp Westwind,,,,
Henry L Slater Elementary School,Burns,Harney,Harney County SD 3,Harney ESD,Public,No,"",,,,,,,,,,,,,,0.414,0.389,0.589,0.5831000000000001,0.8170000000000001,-119.0616027,43.5925792,,,,,
Heppner Elementary School,Heppner,Morrow,Morrow SD 1,InterMountain ESD,Public,Yes,6,Tupper Workstation,4,3,"Yes, and it CONNECTS TO STATE STANDARDS",30,Yes,Yes,No,No,Yes,Yes,Yes,No,0.461,0.337,0.647,0.5085999999999999,0.8170000000000001,-119.5505222,45.3576354,Tupper Workstation,,,,
Heritage Elementary School,Woodburn,Marion,Woodburn SD 103,Willamette ESD,Public,No,"",,,,,,,,,,,,,,0.28,0.36,0.27699999999999997,0.7802,0.31,-122.871413,45.133731,,,,,
Hermiston Christian Center & School,Hermiston,Umatilla,Private,Private,Private,No,"",,,,,,,,,,,,,,,,,,,-119.3237822,45.8340407,,,,,
Hermiston Junior Academy,Hermiston,Umatilla,Private,Private,Private,No,"",,,,,,,,,,,,,,,,,,,-119.3126056,45.853674,,,,,
High Lakes Elementary School,Bend,Deschutes,Bend-La Pine Admin SD 1,High Desert ESD,Public,Yes,5,Camp Tamarack,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",118,Yes,No,No,Yes,No,No,No,No,0.7609999999999999,0.705,0.813,0.1139,0.892,-121.3527505,44.0616787,Camp Tamarack,,,,
Highland Elementary School,Salem,Marion,Salem-Keizer SD 24J,Willamette ESD,Public,No,"",,,,,,,,,,,,,,0.307,0.21100000000000002,0.237,0.9201,0.312,-123.0280826,44.9597757,,,,,
Highland Hills Elementary School,Hermiston,Umatilla,Hermiston SD 8,InterMountain ESD,Public,Yes,5,Camp Meadowood Springs,3,2,,150,,,,,,,,,0.568,0.5589999999999999,0.649,0.5705,0.615,-119.2694629,45.8375193,Camp Meadowood Springs,,,,
Highland Park Middle School,Beaverton,Washington,Beaverton SD 48J,Northwest Regional ESD,Public,Yes,6,"Trickle Creek,Cedar Ridge",4,3,"Yes, and it CONNECTS TO STATE STANDARDS",300,Yes,No,No,,,,,,0.58,0.48200000000000004,,0.3188,0.5820000000000001,-122.8183965,45.4692195,Trickle Creek,Cedar Ridge,,,
Highland School at Kenwood Elementary School,Bend,Deschutes,Bend-La Pine Admin SD 1,High Desert ESD,Public,Yes,"1, 2, 3",Camp Tamarack,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",120,Yes,Yes,No,Yes,No,No,No,No,0.866,0.868,0.8490000000000001,0.0949,0.946,-121.3228681,44.0619324,Camp Tamarack,,,,
Hillcrest Elementary School,North Bend,Coos,North Bend SD 13,South Coast ESD,Public,No,"",,,,,,,,,,,,,,0.622,0.568,0.774,0.624,0.711,-124.2287048,43.4029392,,,,,
Hillsboro Online Academy,Hillsboro,Washington,Hillsboro SD 1J,Northwest Regional ESD,Public,Yes,6,Cedar Ridge,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",30,,,,,,,,,0.6459999999999999,0.25,0.6459999999999999,,0.725,-122.984701,45.527486,Cedar Ridge,,,,
Hillside Elementary School,Eagle Point,Jackson,Eagle Point SD 9,Southern Oregon ESD,Public,No,"",,,,,,,,,,,,,,0.409,0.36,0.679,0.5558,0.794,-122.79728420000001,42.4704108,,,,,
Hines Middle School,Hines,Harney,Harney County SD 3,Harney ESD,Public,Yes,"3, 4, 5",Coastal Discovery Center at Camp Gray,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",54,Yes,No,No,,,,,,0.531,0.32,0.857,0.49729999999999996,0.7979999999999999,-119.0871457,43.5632583,Coastal Discovery Center at Camp Gray,,,,
Holley Elementary School,Sweet Home,Linn,Sweet Home SD 55,Linn Benton Lincoln ESD,Public,Yes,6,Camp Tadmor,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",19,Yes,No,No,No,Yes,Yes,Yes,No,0.26899999999999996,0.207,0.5379999999999999,0.6987000000000001,0.8909999999999999,-122.7834392,44.3586815,Camp Tadmor,,,,
Holt Elementary School,Eugene,Lane,Eugene SD 4J,Lane ESD,Public,No,"",,,,,,,,,,,,,,0.46299999999999997,0.369,0.7559999999999999,0.5608,0.652,-123.0547413,44.071291,,,,,
Holy Cross Catholic School,Portland,Multnomah,Private,Private,Private,Yes,"",Camp Howard,6,5,"Yes, and it CONNECTS TO STATE STANDARDS",20,Yes,No,No,Yes,No,No,No,No,,,,,,-122.7223827,45.5804612,Camp Howard,,,,
Holy Family Academy,Brooks,Marion,Private,Private,Private,No,"",,,,,,,,,,,,,,,,,,,-122.8802032,44.991459,,,,,
Holy Redeemer Catholic School,Portland,Multnomah,Private,Private,Private,Yes,6,Camp Arrah Wanna,6,5,"Yes, and it CONNECTS TO STATE STANDARDS",23,Yes,No,No,Yes,No,No,No,No,,,,,,-122.668216,45.5704775,Camp Arrah Wanna,,,,
Holy Trinity School,Beaverton,Washington,Private,Private,Private,Yes,6,Camp Westwind,4,3,"Yes, and it CONNECTS TO STATE STANDARDS",28,Yes,No,No,Yes,Yes,No,No,No,,,,,,-122.818003,45.5069166,Camp Westwind,,,,
Hood River Middle School,Hood River,Hood River,Hood River County SD,Columbia Gorge ESD,Public,Yes,6,Hancock Field Station,2,1,"Yes, and it CONNECTS TO STATE STANDARDS",185,Yes,No,No,Yes,Yes,Yes,No,No,0.637,0.534,0.7909999999999999,0.3846,0.6559999999999999,-121.5285453,45.704376,Hancock Field Station,,,,
Hood View Junior Academy,Boring,Clackamas,Private,Private,Private,Yes,6,Rosario Marine Station,5,4,,15,,,,,,,,,,,,,,-122.3734641,45.4313662,Rosario Marine Station,,,,
Hoover Elementary School,Corvallis,Benton,Corvallis SD 509J,Linn Benton Lincoln ESD,Public,Yes,5,Coastal Discovery Center at Camp Gray,3,2,No,80,Yes,No,No,Yes,No,No,No,No,0.741,0.759,0.795,0.2005,0.67,-123.2925814,44.592501,Coastal Discovery Center at Camp Gray,,,,
Hoover Elementary School,Salem,Marion,Salem-Keizer SD 24J,Willamette ESD,Public,No,"",,,,,,,,,,,,,,0.17,0.087,0.38,0.8291,0.243,-122.9956453,44.9448766,,,,,
Hope Chinese Charter School,Portland,Washington,Beaverton SD 48J,Northwest Regional ESD,Public,No,"",,,,,,,,,,,,,,0.805,0.897,0.88,,0.273,-122.7838532,45.4946938,,,,,
Horizon Christian Elementary School & Middle School,Tualatin,Washington,Private,Private,Private,Yes,6,Twin Rocks Friends Conference,4,3,"Yes, and it CONNECTS TO STATE STANDARDS",32,Yes,No,No,,,,,,,,,,,-122.7639851,45.3840077,Twin Rocks Friends Conference,,,,
Horizon Christian School,Hood River,Hood River,Private,Private,Private,Yes,6,Camp Yamhill,4,3,"Yes, and it CONNECTS TO STATE STANDARDS",12,Yes,No,No,Yes,Yes,Yes,No,No,,,,,,-121.517233,45.698171,Camp Yamhill,,,,
Hosford Middle School,Portland,Multnomah,Portland SD 1J,Multnomah ESD,Public,Yes,6,"Camp Angelos,Camp Arrah Wanna,Camp Howard,Camp Namanu",6,5,"Yes, and it CONNECTS TO STATE STANDARDS",182,Yes,No,No,Yes,No,No,No,No,0.605,0.552,0.575,0.3328,0.616,-122.6375416,45.5063195,Camp Angelos,Camp Arrah Wanna,Camp Howard,Camp Namanu,
Houck Middle School,Salem,Marion,Salem-Keizer SD 24J,Willamette ESD,Public,No,"",,,,,,,,,,,,,,0.33399999999999996,0.204,0.39,0.8467,0.28800000000000003,-122.9718186,44.9146782,,,,,
Howard Elementary School,Eugene,Lane,Eugene SD 4J,Lane ESD,Public,No,"",,,,,,,,,,,,,,0.368,0.28300000000000003,0.578,0.7339,0.635,-123.1394248,44.0874083,,,,,
Howard Elementary School,Medford,Jackson,Medford SD 549C,Southern Oregon ESD,Public,No,"",,,,,,,,,,,,,,0.37200000000000005,0.35200000000000004,0.557,0.8069,0.469,-122.8912248,42.3575746,,,,,
Howard Street Charter,Salem,Marion,Salem-Keizer SD 24J,Willamette ESD,Public,Yes,6,YMCA Camp Collins,3,2,,54,,,,,,,,,0.797,0.62,0.865,,0.7829999999999999,-123.0392534,44.9223608,YMCA Camp Collins,,,,
Hucrest Elementary School,Roseburg,Douglas,Douglas County SD 4,Douglas ESD,Public,No,"",,,,,,,,,,,,,,0.563,0.527,0.77,0.381,0.8140000000000001,-123.3811694,43.2309553,,,,,
Hudson Park Elementary School,Rainier,Columbia,Rainier SD 13,Northwest Regional ESD,Public,Yes,"",Cispus Learning Center,5,4,,79,No,Yes,No,,,,,,0.42700000000000005,0.35100000000000003,0.547,0.5855,0.871,-122.9874098,46.0949209,Cispus Learning Center,,,,
Imbler Charter School,Imbler,Union,Imbler SD 11,InterMountain ESD,Public,Yes,"3, 8",Hancock Field Station,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",41,Yes,No,No,Yes,No,Yes,No,No,0.611,0.557,0.821,0.3642,0.898,-117.9639342,45.4618382,Hancock Field Station,,,,
Imlay Elementary School,Hillsboro,Washington,Hillsboro SD 1J,Northwest Regional ESD,Public,Yes,6,Cedar Ridge,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",79,,,,,,,,,0.659,0.526,0.787,0.2482,0.608,-122.921274,45.5116632,Cedar Ridge,,,,
Imnaha School,Imnaha,Wallowa,Joseph SD 6,Region 18 ESD,Public,Yes,5,6 Ranch,1,0,"Yes, and it CONNECTS TO STATE STANDARDS",1,,,,,,,,,,,,,0.33299999999999996,-116.83458,45.559832,6 Ranch,,,,
Independence Elementary School,Independence,Polk,Central SD 13J,Willamette ESD,Public,No,"",,,,,,,,,,,,,,0.19,0.19,0.48200000000000004,0.7954000000000001,0.37,-123.1898355,44.8525159,,,,,
Indian Hills Elementary School,Aloha,Washington,Hillsboro SD 1J,Northwest Regional ESD,Public,Yes,6,Camp Magruder,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",72,,,,,,,,,0.665,0.625,0.866,0.34119999999999995,0.44799999999999995,-122.8955027,45.5068463,Camp Magruder,,,,
International School of Beaverton,Aloha,Washington,Beaverton SD 48J,Northwest Regional ESD,Public,No,"",,,,,,,,,,,,,,0.905,0.787,,0.1782,0.44,-122.8599148,45.4903044,,,,,
Inza R Wood Middle School,Wilsonville,Clackamas,West Linn-Wilsonville SD 3J,Clackamas ESD,Public,Yes,6,"Cedar Ridge,Trickle Creek",4,3,"Yes, and it CONNECTS TO STATE STANDARDS",265,,,,,,,,,0.526,0.45299999999999996,0.6609999999999999,0.3728,0.6679999999999999,-122.7934918,45.301241,Cedar Ridge,Trickle Creek,,,
Ione Community Charter School,Ione,Morrow,Ione SD R2,InterMountain ESD,Public,Yes,6,Tupper Workstation,4,3,"Yes, and it CONNECTS TO STATE STANDARDS",15,Yes,Yes,No,No,Yes,Yes,Yes,No,0.484,0.36200000000000004,0.529,0.4422,0.6579999999999999,-119.8283816,45.4989326,Tupper Workstation,,,,
Irrigon Elementary School,Irrigon,Morrow,Morrow SD 1,InterMountain ESD,Public,Yes,6,Hancock Field Station,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",53,Yes,No,No,Yes,Yes,Yes,No,No,0.21600000000000003,0.2,0.253,0.7718,0.49,-119.4968059,45.8866125,Hancock Field Station,,,,
Irving Elementary School,Eugene,Lane,Bethel SD 52,Lane ESD,Public,No,"",,,,,,,,,,,,,,0.634,0.564,0.655,0.4567,0.769,-123.152594,44.11075,,,,,
