School Name – City,School Name,District,ESD,Sister school,Street Address,City,State,Zip,County,Phone,Lowest grade,Highest grade,Grade level,Governance,Type of school,State ID,Contact person role,Contact person name,Email,ODS notes,"If your school is not listed above, please enter its name below.",Did your school participate in Outdoor School in the 2016-2017 school year?,How many students from your school participated in Outdoor School in the 2016-2017 school year?,Which grades participated in Outdoor School in the 2016-2017 school year?,Which camp or camps did students at your school attend for Outdoor School in the 2016-2017 school year?,How many DAYS does your Outdoor School program last?,How many NIGHTS does your Outdoor School program last?,Which provider(s) do you contract with to plan your Outdoor School experience?,Does your Outdoor School program have an academic component?,Who develops the curriculum that you use for Outdoor School?,"In addition to classroom teachers, who do you use to staff your Outdoor School program?",To what degree are you able to make accommodations to ensure that the Outdoor School program is accessible for all students?,How many years has your school sent students to Outdoor School?,Has your school sent students to Outdoor School prior to the 2016-2017 school year?,When was the last time that students participated in Outdoor School?,Which camp or camps did students attend the last time your school participated in Outdoor School?,Why did your school stop sending students to Outdoor School?,Is your school interested in starting an Outdoor School program in the future?,When do you think your might be ready to start an Outdoor School program?,"How familiar, if at all, are you with Measure 99, which passed in November 2016 and dedicates funding to schools to send students to Outdoor School?","How familiar, if at all, are you with the role that Oregon State Extension plays in funding Outdoor School programs?",Do you have any other comments about Outdoor School?,Notes,2015-16 Total Enrollment,2016-17 Total Enrollment,2016-17  Male,"2016-17 
% Male",2016-17 Female,"2016-17
% Female",2016-17 American Indian/ Alaska Native,"2016-17
% American Indian/ Alaska Native ",2016-17 Asian,"2016-17
% Asian ",2016-17 Native Hawaiian/ Pacific Islander,"2016-17 
% Native Hawaiian/ Pacific Islander ",2016-17 Black/African American,"2016-17
% Black/ African American ",2016-17 Hispanic/ Latino,"2016-17
% Hispanic/ Latino",2016-17 White,"2016-17 
% White ",2016-17 Multiracial,"2016-17
% Multiracial ",2016-17 Kindergarten,2016-17 Grade One,2016-17 Grade Two,2016-17 Grade Three,2016-17 Grade Four,2016-17 Grade Five,2016-17 Grade Six,2016-17 Grade Seven,2016-17 Grade Eight,2016-17 Grade Nine,2016-17 Grade Ten,2016-17 Grade Eleven,2016-17 Grade Twelve,Done,Sister school (opposite direction)
Lafayette Elementary School – Albany,Lafayette Elementary School,Greater Albany Public SD 8J,Linn Benton Lincoln ESD,,3122 Madison St SE,Albany,OR,97322,Linn,541-967-4575,K,5,Elementary,Public,Regular School,640,Principal,Jodi Smith,jodi.smith@albany.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,332,317,177,55.8%,140,44.2%,4,1.3%,,0%,1,0.3%,2,0.6%,87,27.4%,206,65%,17,5.4%,53,53,52,61,46,52,,,,,,,,false,
Lake Creek Learning Center – Eagle Point,Lake Creek Learning Center,Eagle Point SD 9,Southern Oregon ESD,,391 Lake Creek Loop Rd,Eagle Point,OR,97524,Jackson,541-830-1275,K,5,Elementary,Public,Regular School,3147,Principal,Harry Hedrick,hedrickh@eaglepnt.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,60,58,25,43.1%,33,56.9%,,0%,,0%,,0%,,0%,2,3.4%,54,93.1%,2,3.4%,12,8,11,9,11,7,,,,,,,,false,
Lake Grove Elementary School – Lake Oswego,Lake Grove Elementary School,Lake Oswego SD 7J,Clackamas ESD,,15777 SW Boones Ferry Rd,Lake Oswego,OR,97035,Clackamas,503-534-2357,K,5,Elementary,Public,Regular School,55,Principal,Carol Whitten,carol.whitten@loswego.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,416,460,238,51.7%,222,48.3%,1,0.2%,64,13.9%,5,1.1%,5,1.1%,20,4.3%,328,71.3%,37,8%,119,69,64,66,79,63,,,,,,,,false,
Lake Oswego Middle School – Lake Oswego,Lake Oswego Middle School,Lake Oswego SD 7J,Clackamas ESD,,2500 SW Country Club Rd,Lake Oswego,OR,97034,Clackamas,503-534-2335,6,8,Middle,Public,Regular School,59,Principal,Sara Deboy,Sara.Deboy@loswego.k12.or.us,,,Yes,295,6th grade,"Cedar Ridge, Trickle Creek",4,3,Northwest Regional ESD,"Yes, and it CONNECTS TO STATE STANDARDS",,,,,,,,,,,,,,,920,911,471,51.7%,440,48.3%,1,0.1%,113,12.4%,1,0.1%,10,1.1%,70,7.7%,665,73%,51,5.6%,,,,,,,307,326,278,,,,,true,
Lakeridge Middle School – Lake Oswego,Lakeridge Middle School,Lake Oswego SD 7J,Clackamas ESD,,4700 SW Jean Rd,Lake Oswego,OR,97035,Clackamas,503-534-2343,6,8,Middle,Public,Regular School,60,Principal,Kurt Schultz,kurt.schultz@loswego.k12.or.us,,,Yes,276,6th grade,"Cedar Ridge, Camp Magruder",4,3,Northwest Regional ESD,"Yes, and it CONNECTS TO STATE STANDARDS",,,,,,,,,,,,,,,788,840,422,50.2%,418,49.8%,1,0.1%,47,5.6%,3,0.4%,4,0.5%,54,6.4%,662,78.8%,69,8.2%,,,,,,,276,292,272,,,,,true,
Lamb Elementary School – Salem,Lamb Elementary School,Salem-Keizer SD 24J,Willamette ESD,,4930 Herrin Rd NE,Salem,OR,97305,Marion,503-399-3477,K,5,Elementary,Public,Regular School,3375,Principal,Scott Stenlund,stenlund_scott@salkeiz.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,490,497,238,47.9%,259,52.1%,2,0.4%,5,1%,16,3.2%,9,1.8%,328,66%,126,25.4%,11,2.2%,77,85,74,95,80,86,,,,,,,,false,
Lane Middle School – Portland,Lane Middle School,Portland SD 1J,Multnomah ESD,,7200 SE 60th Ave,Portland,OR,97206,Multnomah,503-916-6355,6,8,Middle,Public,Regular School,1243,Principal,Jeandre  Carbone,jcarbone@pps.net,,,,,,,,,,,,,,,,,,,,,,,,,481,442,208,47.1%,234,52.9%,5,1.1%,70,15.8%,9,2%,35,7.9%,121,27.4%,163,36.9%,39,8.8%,,,,,,,141,162,139,,,,,false,
La Pine Elementary School – LaPine,La Pine Elementary School,Bend-La Pine Admin SD 1,High Desert ESD,,51615 Coach Rd,LaPine,OR,97739,Deschutes,541-355-8000,K,5,Elementary,Public,Regular School,245,Principal,Patrick Flanagan,patrick.flanagan@bend.k12.or.us,,,Yes,65,5th grade,Camp Tamarack,3,2,Camp Tamarack,"Yes, and it CONNECTS TO STATE STANDARDS",We use curriculum developed by an outside provider,Program provider staff,,,,,,,,,,,,,,,,,179,46.3%,7,1.8%,5,1.3%,1,0.3%,1,0.3%,23,5.9%,349,90.2%,1,0.3%,49,53,65,75,72,73,,,,,,,,false,La Pine Middle School – LaPine
La Pine Middle School – LaPine,La Pine Middle School,Bend-La Pine Admin SD 1,High Desert ESD,"La Pine Elementary School – LaPine, Rosland Elementary School – La Pine",16360 First St,LaPine,OR,97739,Deschutes,541-355-8200,6,8,Middle,Public,Regular School,1310,Principal,Robi Phinney,robi.phinney@bend.k12.or.us,,,No (sister school did),,,,,,,,,,,,Yes,2013-2014 school year,Camp Tamarack,Because 5th grade does it,A BIT interested,Not sure at this point,SOMEWHAT FAMILIAR with Measure 99,SOMEWHAT FAMILIAR with the role OSU Extension plays,,,290,292,147,50.3%,145,49.7%,6,2.1%,1,0.3%,,0%,1,0.3%,22,7.5%,259,88.7%,3,1%,,,,,,,97,106,89,,,,,false,
Latham Elementary School – Cottage Grove,Latham Elementary School,South Lane SD 45J3,Lane ESD,,32112 Latham Rd,Cottage Grove,OR,97424,Lane,541-942-0147,K,5,Elementary,Public,Regular School,577,Principal,Anne Fisk,anne.fisk@slane.k12.or.us,,,Yes,20,5th grade,,3,2,,"Yes, and it CONNECTS TO STATE STANDARDS",School staff develop the curriculum,"State agency or community resource experts (e.g. watershed council personnel or Fish & Wildlife staff), High school mentors",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,,,,,,,,A BIT FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,,,123,105,60,57.1%,45,42.9%,6,5.7%,1,1%,,0%,1,1%,4,3.8%,91,86.7%,2,1.9%,13,24,11,24,14,19,,,,,,,,true,
Laurel Ridge Middle School – Sherwood,Laurel Ridge Middle School,Sherwood SD 88J,Northwest Regional ESD,,21416 SW Cooper Terrace,Sherwood,OR,97140,Washington,503-825-5800,6,8,Middle,Public,Regular School,4731,Principal,Brian Bailey,bbailey@sherwood.k12.or.us,,,Yes,159,6th grade,Camp Magruder,4,3,Northwest Regional ESD,"Yes, and it CONNECTS TO STATE STANDARDS",,,,,,,,,,,,,,,491,475,255,53.7%,220,46.3%,5,1.1%,18,3.8%,3,0.6%,3,0.6%,43,9.1%,376,79.2%,27,5.7%,,,,,,,156,157,162,,,,,true,
Laurelhurst Elementary School – Portland,Laurelhurst Elementary School,Portland SD 1J,Multnomah ESD,,840 NE 41st Ave,Portland,OR,97232,Multnomah,503-916-6210,K,8,Elementary,Public,Regular School,868,Principal,Sabrina Flamoe,sflamoe@pps.net,,,Yes,72,6th grade,"Camp Angelos, Camp Howard, Camp Namanu",6,5,Multnomah County ESD,"Yes, and it CONNECTS TO STATE STANDARDS",We use curriculum developed by an outside provider,,,,,,,,,,,,,,700,683,350,51.2%,333,48.8%,3,0.4%,25,3.7%,,0%,14,2%,41,6%,530,77.6%,70,10.2%,64,75,78,78,77,76,74,85,76,,,,,true,
Lava Ridge Elementary School – Bend,Lava Ridge Elementary School,Bend-La Pine Admin SD 1,High Desert ESD,,20805 Cooley Rd,Bend,OR,97701,Deschutes,541-355-2400,K,5,Elementary,Public,Regular School,1317,Principal,Gary DeFrang,gary.defrang@bend.k12.or.us,,,Yes,77,5th grade,Camp Tamarack,3,2,Camp Tamarack,"Yes, and it CONNECTS TO STATE STANDARDS",We use curriculum developed by an outside provider,Program provider staff,,,,,,,,,,,,,,,,,293,47.5%,3,0.5%,6,1%,,0%,,0%,69,11.2%,528,85.6%,11,1.8%,88,110,111,92,105,111,,,,,,,,false,
Le Monde French Immersion Public Charter School – Portland,Le Monde French Immersion Public Charter School,Portland SD 1J,Multnomah ESD,,2044 E Burnside,Portland,OR,97214,Multnomah,503-208-3198,K,5,Elementary,Public,Charter School,5060,Principal,Chantal Dufour Martel,chantal@lemondeimmersion.org,,,,,,,,,,,,,,,,,,,,,,,,,226,277,139,50.2%,138,49.8%,3,1.1%,2,0.7%,1,0.4%,11,4%,11,4%,218,78.7%,31,11.2%,50,77,49,42,37,22,,,,,,,,false,
Lee Elementary School – Canby,Lee Elementary School,Canby SD 86,Clackamas ESD,,1110 S. Ivy,Canby,OR,97013,Clackamas,503-263-7150,K,6,Elementary,Public,Regular School,869,Principal,Cherie Switzer,switzerc@canby.k12.or.us,,,Yes,58,,Camp Magruder,3,2,Northwest Regional ESD,"Yes, and it CONNECTS TO STATE STANDARDS",,,,,,,,,,,,,,,446,443,225,50.8%,218,49.2%,2,0.5%,1,0.2%,1,0.2%,1,0.2%,149,33.6%,269,60.7%,20,4.5%,60,79,49,75,62,60,58,,,,,,,true,
Lee Elementary School – Salem,Lee Elementary School,Salem-Keizer SD 24J,Willamette ESD,,5650 Venice St SE,Salem,OR,97306,Marion,503-399-5570,K,5,Elementary,Public,Regular School,3526,Principal,Don Hakala,hakala_don@salkeiz.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,303,309,173,56%,136,44%,2,0.6%,4,1.3%,5,1.6%,1,0.3%,133,43%,154,49.8%,10,3.2%,51,41,74,43,43,57,,,,,,,,false,
Lee K-8 School – Portland,Lee K-8 School,Portland SD 1J,Multnomah ESD,,2222 NE 92nd Ave,Portland,OR,97220,Multnomah,503-916-6144,,,Other,Public,Regular School,4435,Principal,Isaac Cardona,icardona@pps.net,,,,,,,,,,,,,,,,,,,,,,,,,456,445,236,53%,209,47%,6,1.3%,97,21.8%,8,1.8%,80,18%,75,16.9%,125,28.1%,54,12.1%,48,54,55,58,69,50,42,38,31,,,,,false,
Lenox Elementary School – Portland,Lenox Elementary School,Hillsboro SD 1J,Northwest Regional ESD,,21200 NW Rock Creek Blvd,Portland,OR,97229,Washington,503-844-1360,K,6,Elementary,Public,Regular School,1110,Principal,Gina Mclain,mclaing@hsd.k12.or.us,,,Yes,57,6th grade,Trickle Creek,3,2,Northwest Regional ESD,"Yes, and it CONNECTS TO STATE STANDARDS",,,,,,,,,,,,,,,483,470,214,45.5%,256,54.5%,8,1.7%,51,10.9%,2,0.4%,17,3.6%,118,25.1%,234,49.8%,40,8.5%,82,63,79,56,76,56,58,,,,,,,true,
Lent Elementary School – Portland,Lent Elementary School,Portland SD 1J,Multnomah ESD,,5105 SE 97th Ave,Portland,OR,97266,Multnomah,503-916-6322,K,8,Elementary,Public,Regular School,870,Principal,Terri Sing,tsing@pps.net,,,,,,,,,,,,,,,,,,,,,,,,,564,523,268,51.2%,255,48.8%,2,0.4%,74,14.1%,2,0.4%,43,8.2%,239,45.7%,131,25%,32,6.1%,60,48,57,69,60,59,61,60,49,,,,,false,
Leslie Middle School – Salem,Leslie Middle School,Salem-Keizer SD 24J,Willamette ESD,,3850 Pringle Rd SE,Salem,OR,97302,Marion,503-399-3206,6,8,Middle,Public,Regular School,766,Principal,Denny McCarthy,mccarthy_denny@salkeiz.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,788,775,405,52.3%,370,47.7%,7,0.9%,11,1.4%,12,1.5%,9,1.2%,220,28.4%,465,60%,51,6.6%,,,,,,,260,271,244,,,,,false,
Lewelling Elementary School – Milwaukie,Lewelling Elementary School,North Clackamas SD 12,Clackamas ESD,,5325 SE Logus Rd,Milwaukie,OR,97222,Clackamas,503-353-5440,K,5,Elementary,Public,Regular School,4764,Principal,Liz Manspeaker,manspeakere@nclack.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,341,357,184,51.5%,173,48.5%,6,1.7%,8,2.2%,8,2.2%,12,3.4%,88,24.6%,211,59.1%,24,6.7%,55,59,59,72,52,60,,,,,,,,false,
Lewis & Clark Elementary School – Astoria,Lewis & Clark Elementary School,Astoria SD 1,Northwest Regional ESD,,92179 Lewis and Clark Rd,Astoria,OR,97103,Clatsop,503-325-2032,3,5,Elementary,Public,Regular School,147,Principal,Brian Ploghoft,bploghoft@astoria.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,432,429,200,46.6%,229,53.4%,7,1.6%,4,0.9%,5,1.2%,3,0.7%,84,19.6%,310,72.3%,16,3.7%,,,,127,154,148,,,,,,,,false,
Lewis & Clark Elementary School – St Helens,Lewis & Clark Elementary School,St Helens SD 502,Northwest Regional ESD,,111 S 9th St,St Helens,OR,97051,Columbia,503-366-7603,K,6,Elementary,Public,Regular School,3569,Principal,Dustin Salisbury,dustins@sthelens.k12.or.us,,,Yes,107,6th grade,Cedar Ridge,3,2,Northwest Regional ESD,"Yes, and it CONNECTS TO STATE STANDARDS",Provided by Northwest Regional ESD,"Program provider staff, High school mentors",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,8,,,,,,,SOMEWHAT FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,,,701,690,348,50.4%,342,49.6%,,0%,4,0.6%,1,0.1%,5,0.7%,69,10%,559,81%,52,7.5%,92,86,86,115,103,99,109,,,,,,,true,
Lewis and Clark Montessori Charter School – Gresham,Lewis and Clark Montessori Charter School,Gresham-Barlow SD 10J,Multnomah ESD,,PO Box 365 (mailing),Gresham,OR,97030,Multnomah,503-427-0803,K,8,Other,Public,Charter,4667,Principal,Melissa Harbert,mharbert@lcmcs.org,,,,,,,,,,,,,,,,,,,,,,,,,296,341,177,51.9%,164,48.1%,,0%,5,1.5%,,0%,3,0.9%,39,11.4%,264,77.4%,30,8.8%,42,40,48,44,43,40,31,32,21,,,,,false,
Lewis Elementary School – Portland,Lewis Elementary School,Portland SD 1J,Multnomah ESD,,4401 SE Evergreen St,Portland,OR,97206,Multnomah,503-916-6360,K,5,Elementary,Public,Regular School,871,Principal,Helen Nolan Balducci,hnolan@pps.net,,,Yes,62,6th grade,Camp Magruder,3,2,Northwest Regional ESD,"Yes, and it CONNECTS TO STATE STANDARDS",,,,,,,,,,,,,,,383,413,213,51.6%,200,48.4%,1,0.2%,9,2.2%,,0%,7,1.7%,34,8.2%,311,75.3%,51,12.3%,74,69,67,65,72,66,,,,,,,,true,
Liberty Elementary School – Albany,Liberty Elementary School,Greater Albany Public SD 8J,Linn Benton Lincoln ESD,,2345 Liberty St SW,Albany,OR,97321,Linn,541-967-4578,K,5,Elementary,Public,Regular School,641,Principal,Rich Sipe,rich.sipe@albany.k12.or.us,,,No,,,,,,,,,,,,No,,,,NOT AT ALL interested,Not sure at this point,SOMEWHAT FAMILIAR with Measure 99,A BIT FAMILIAR with the role OSU Extension plays,Our school is grades K-5.  I believe the district plan is to look at Outdoor School as a 6th grade experience.,,355,348,184,52.9%,164,47.1%,2,0.6%,8,2.3%,1,0.3%,1,0.3%,23,6.6%,277,79.6%,36,10.3%,56,48,56,60,63,65,,,,,,,,false,
Liberty Elementary School – Salem,Liberty Elementary School,Salem-Keizer SD 24J,Willamette ESD,,4871 Liberty Rd S,Salem,OR,97306,Marion,503-399-3165,K,5,Elementary,Public,Regular School,749,Principal,Lizi Aguilar-Nelson,aguilar-nelson_lizi@salkeiz.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,372,386,198,51.3%,188,48.7%,4,1%,2,0.5%,13,3.4%,6,1.6%,52,13.5%,279,72.3%,30,7.8%,52,51,54,68,84,77,,,,,,,,false,
Life Christian School – Aloha,Life Christian School,,,,5585 SW 209th Ave,Aloha,OR,97007,Washington,503-259-1329,K,12,Other,Private,Regular School,,,,lcs@lcslions.org,,,Yes,,,Twin Rocks Friends Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
Life Lutheran School – Eugene,Life Lutheran School,,,,710 E 17th Ave,Eugene,OR,97401,Lane,541-342-5433,PK,8,Other,Private,Regular School,,,,office@lifeschool.us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
Lighthouse Charter School – Coos Bay,Lighthouse Charter School,Coos Bay SD 9,South Coast ESD,,62858 HWY 101,Coos Bay,OR,97420,Coos,541-751-1649,K,8,Other,Public,Charter School,3615,Director,Wade  Lester,lhlester@nbend.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
Lighthouse School – Bend,Lighthouse School,North Bend SD 13,,,"1500 16th Street, Ste. 1",Bend,OR,97459,Coos,,K,8,Other,Public,Charter,,,Wade Lester,lhwlester@nbend.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
Lincoln City Seventh-Day Adventist School – Lincoln City,Lincoln City Seventh-Day Adventist School,,,,2126 NE Surf Ave,Lincoln City,OR,97367,Lincoln,541-994-5181,1,12,Other,Private,Regular School,,,,lcsdas@gmail.com,,,Yes,5,6th grade,Big Lake Youth Camp,4,3,Oregon Conference of Seventh-day Adventists,"Yet, but it DOES NOT CONNECT TO STATE STANDARDS",We use curriculum developed by an outside provider,"Program provider staff, Parent volunteers",We are ABLE TO MAKE SOME accommodations so our program is accessible for all students,4,,,,,,,NOT AT ALL FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,Unsure how many years our school has participated. It's been at least 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
Lincoln Elementary School – Corvallis,Lincoln Elementary School,Corvallis SD 509J,Linn Benton Lincoln ESD,,110 SE Alexander Ave,Corvallis,OR,97333,Benton,541-757-5955,K,5,Elementary,Public,Regular School,36,Principal,Aaron Hale,aaron.hale@corvallis.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,367,360,171,47.5%,189,52.5%,1,0.3%,2,0.6%,,0%,6,1.7%,120,33.3%,212,58.9%,19,5.3%,67,56,66,61,65,45,,,,,,,,false,
Lincoln Elementary School – Grants Pass,Lincoln Elementary School,Grants Pass SD 7,Southern Oregon ESD,,1132 NE 10th St,Grants Pass,OR,97526,Josephine,541-474-5770,K,5,Elementary,Public,Regular School,437,Principal,Missy Fitzsimmons,mfitzsimmons@grantspass.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,452,454,262,57.7%,192,42.3%,5,1.1%,14,3.1%,1,0.2%,1,0.2%,97,21.4%,310,68.3%,26,5.7%,68,74,77,78,81,76,,,,,,,,false,
Lincoln Elementary School – Woodburn,Lincoln Elementary School,Woodburn SD 103,Willamette ESD,,1041 N Boones Ferry Rd,Woodburn,OR,97071,Marion,503-981-2825,K,5,Elementary,Public,Regular School,1267,Principal,Jennifer Caragol,jcaragol@woodburnsd.org,,,,,,,,,,,,,,,,,,,,,,,,,784,796,425,53.4%,371,46.6%,1,0.1%,2,0.3%,3,0.4%,5,0.6%,676,84.9%,103,12.9%,6,0.8%,127,120,124,142,147,136,,,,,,,,false,
Lincoln Middle School – Cottage Grove,Lincoln Middle School,South Lane SD 45J3,Lane ESD,,1565 S 4th St,Cottage Grove,OR,97424,Lane,541-942-3316,6,8,Middle,Public,Regular School,579,Principal,Jeremy Smith,jeremy.smith@slane.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,520,555,288,51.9%,267,48.1%,11,2%,6,1.1%,,0%,4,0.7%,66,11.9%,467,84.1%,1,0.2%,,,,,,,185,191,179,,,,,false,
Lincoln Middle School – Oakland,Lincoln Middle School,Oakland SD 1,Douglas ESD,,931 Old Town Lp,Oakland,OR,97462,Douglas,541-459-3407,5,8,Middle,Public,Regular School,266,Principal,Diana Sweeden,diana.sweeden@oakland.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,168,193,91,47.2%,102,52.8%,3,1.6%,,0%,,0%,,0%,14,7.3%,176,91.2%,,0%,,,,,,47,47,51,48,,,,,false,
Lincoln Park Elementary School – Portland,Lincoln Park Elementary School,David Douglas SD 40,Multnomah ESD,,13200 SE Lincoln St,Portland,OR,97233,Multnomah,503-256-6504,K,5,Elementary,Public,Regular School,975,Principal,Rebecca Chase,rebecca_chase@ddouglas.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,632,644,351,54.5%,293,45.5%,2,0.3%,115,17.9%,20,3.1%,50,7.8%,197,30.6%,226,35.1%,34,5.3%,97,106,110,119,95,117,,,,,,,,false,
Lincoln Savage Middle School – Grants Pass,Lincoln Savage Middle School,Three Rivers/Josephine County SD,Southern Oregon ESD,,8551 NEw Hope Rd,Grants Pass,OR,97527,Josephine,541-862-2171,6,8,Middle,Public,Regular School,448,Principal,Mark Higgins,mark.higgins@threerivers.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,358,363,186,51.2%,177,48.8%,9,2.5%,3,0.8%,3,0.8%,1,0.3%,41,11.3%,286,78.8%,20,5.5%,,,,,,,126,123,114,,,,,false,
Lincoln Street Elementary School – Hillsboro,Lincoln Street Elementary School,Hillsboro SD 1J,Northwest Regional ESD,,801 N.E. Lincoln Street,Hillsboro,OR,97124,Washington,503-844-1160,K,6,Elementary,Public,Regular School,4642,Principal,Carmen Brodniak,brodniac@hsd.k12.or.us,,,Yes,81,6th grade,Trickle Creek,3,2,Northwest Regional ESD,"Yes, and it CONNECTS TO STATE STANDARDS",,,,,,,,,,,,,,,550,518,247,47.7%,271,52.3%,5,1%,3,0.6%,3,0.6%,7,1.4%,391,75.5%,102,19.7%,7,1.4%,73,67,63,78,75,80,82,,,,,,,true,
Linus Pauling Middle School – Corvallis,Linus Pauling Middle School,Corvallis SD 509J,Linn Benton Lincoln ESD,,1111 NW Cleveland Ave,Corvallis,OR,97330,Benton,541-757-5961,6,8,Middle,Public,Regular School,38,Principal,Alicia Ward Satey,alicia.ward-satey@corvallis.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,698,729,398,54.6%,331,45.4%,6,0.8%,21,2.9%,3,0.4%,6,0.8%,181,24.8%,464,63.6%,48,6.6%,,,,,,,240,236,253,,,,,false,
Linwood Elementary School – Milwaukie,Linwood Elementary School,North Clackamas SD 12,Clackamas ESD,,11909 SE Linwood Ave,Milwaukie,OR,97222,Clackamas,503-353-5460,K,5,Elementary,Public,Regular School,4765,Principal,Amy Busch,buscha@nclack.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,334,315,159,50.5%,156,49.5%,1,0.3%,10,3.2%,11,3.5%,16,5.1%,81,25.7%,174,55.2%,22,7%,55,46,51,64,54,45,,,,,,,,false,
Living Wisdom School – Beaverton,Living Wisdom School,,,,4855 SW Watson Ave,Beaverton,OR,97005,Washington,503-671-9112,PK,8,Other,Private,Regular School,,,,office@livingwisdomportland.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
Livingstone Adventist Academy – Salem,Livingstone Adventist Academy,,,,5771 Fruitland Rd NE,Salem,OR,97317,Marion,503-363-9408,K,12,Other,Private,Regular School,,,,jreyes@laaonline.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
Llewellyn Elementary School – Portland,Llewellyn Elementary School,Portland SD 1J,Multnomah ESD,,6301 SE 14th Ave,Portland,OR,97202,Multnomah,503-916-6216,K,5,Elementary,Public,Regular School,872,Principal,Joseph Galati,jgalati@pps.net,,,,,,,,,,,,,,,,,,,,,,,,,535,517,273,52.8%,244,47.2%,2,0.4%,9,1.7%,5,1%,5,1%,28,5.4%,422,81.6%,46,8.9%,74,92,72,78,100,101,,,,,,,,false,
Logos Public Charter School – Medford,Logos Public Charter School,Medford SD 549C,Southern Oregon ESD,,400 Earhart,Medford,OR,97501,Jackson,541-842-3658,K,12,Other,Public,Charter School,4821,Director,Joseph VonDoloski,jvondo@logoscharter.com,,,,,,,,,,,,,,,,,,,,,,,,,870,886,400,45.1%,486,54.9%,5,0.6%,8,0.9%,2,0.2%,5,0.6%,83,9.4%,755,85.2%,28,3.2%,53,80,58,70,74,55,56,58,61,77,73,84,87,false,
London School – Cottage Grove,London School,South Lane SD 45J3,Lane ESD,,73288 London Rd,Cottage Grove,OR,97424,Lane,541-942-0183,K,8,Other,Public,Regular School,578,Principal,Bill Bechen,bill.bechen@slane.k12.or.us,,,Yes,45,5th grade,,3,2,Umpqua National Forest,"Yes, and it CONNECTS TO STATE STANDARDS","School staff develop the curriculum, Forest Service","State agency or community resource experts (e.g. watershed council personnel or Fish & Wildlife staff), High school mentors",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,25,,,,,,,VERY FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,"I have been involved in Outdoor School for 14 years, and I absolutely love it! I believe it is very necessary for our students to experience this as I have seen first hand how this affects students in such a positive way.",,95,87,38,43.7%,49,56.3%,,0%,1,1.1%,1,1.1%,1,1.1%,10,11.5%,73,83.9%,1,1.1%,12,8,12,8,16,11,13,4,3,,,,,true,
Lone Pine Elementary School – Medford,Lone Pine Elementary School,Medford SD 549C,Southern Oregon ESD,,3158 Lone Pine Rd,Medford,OR,97504,Jackson,541-842-3820,K,6,Elementary,Public,Regular School,414,Principal,Kristina Anderson,kristi.anderson@medford.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,595,606,302,49.8%,304,50.2%,8,1.3%,16,2.6%,3,0.5%,3,0.5%,90,14.9%,462,76.2%,24,4%,87,73,78,90,97,77,104,,,,,,,false,
