"","school","participation","district","esd","governance","ods.fifth.grade","ods.sixth.grade","number.of.students","camp.attended","days","nights","academic.component","accommodations","lon","lat"
"289","Imbler Charter School","Yes","Imbler SD 11","InterMountain ESD","Public",0,0,0,"Hancock Field Station","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-117.9639342,45.4618382
"290","Imlay Elementary School","Yes","Hillsboro SD 1J","Northwest Regional ESD","Public",0,1,79,"Cedar Ridge","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.921274,45.5116632
"291","Independence Elementary School","No","Central SD 13J","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.1898355,44.8525159
"292","Indian Hills Elementary School","Yes","Hillsboro SD 1J","Northwest Regional ESD","Public",0,1,72,"Camp Magruder","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.8955027,45.5068463
"293","International School of Beaverton","No","Beaverton SD 48J","Northwest Regional ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.8599148,45.4903044
"294","Inza R Wood Middle School","Yes","West Linn-Wilsonville SD 3J","Clackamas ESD","Public",0,1,265,"Cedar Ridge, Trickle Creek","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.7934918,45.301241
"295","Ione Community Charter School","Yes","Ione SD R2","InterMountain ESD","Public",0,1,15,"Tupper Workstation","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-119.8283816,45.4989326
"296","Irrigon Elementary School","Yes","Morrow SD 1","InterMountain ESD","Public",0,1,53,"Hancock Field Station","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-119.4968059,45.8866125
"297","Irving Elementary School","No","Bethel SD 52","Lane ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.152594,44.11075
"298","Irvington Elementary School","Yes","Portland SD 1J","Multnomah ESD","Public",0,1,115,"Camp Angelos, Camp Namanu","5","4","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.6521941,45.5399894
"299","Islamic School Of Met","No","None",NA,"Private",0,0,NA,NA,NA,NA,NA,NA,-122.6806067,45.5211917
"300","Jackson Elementary School","Yes","Hillsboro SD 1J","Northwest Regional ESD","Public",0,1,75,"Cedar Ridge","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.9812377,45.5440686
"301","Jackson Elementary School","No","Medford SD 549C","Southern Oregon ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.8872826,42.3316397
"302","Jackson Middle School","Yes","Portland SD 1J","Multnomah ESD","Public",0,1,176,"Camp Angelos, Camp Howard, Camp Namanu","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.7145375,45.4485227
"303","Jacksonville Elementary School","No","Medford SD 549C","Southern Oregon ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.95804,42.317728
"304","Jacob Wismer Elementary School","Yes","Beaverton SD 48J","Northwest Regional ESD","Public",1,0,130,"Cedar Ridge","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.8232172,45.5602769
"305","Jane Goodall Environmental Middle School Charter School","Yes","Salem-Keizer SD 24J","Willamette ESD","Public",0,1,32,"Jawbone Flats","2","1","Yes, and it CONNECTS TO STATE STANDARDS",NA,-123.0219593,44.965496
"306","Jefferson County Middle School","Yes","Jefferson County SD 509J","Jefferson ESD","Public",0,1,140,"Camp Tamarack","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-121.1054776,44.6342252
"307","Jefferson Elementary School","Yes","Corvallis SD 509J","Linn Benton Lincoln ESD","Public",1,0,69,"Hancock Field Station","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-123.2800654,44.5857114
"308","Jefferson Elementary School","No","Medford SD 549C","Southern Oregon ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.8694097,42.3091415
"309","Jefferson Middle School","Yes","Jefferson SD 14J","Willamette ESD","Public",0,1,64,"Jawbone Flats","5","4","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-123.010634,44.7316235
"310","Jewell School","Yes","Jewell SD 8","Northwest Regional ESD","Public",0,0,NA,"Camp Westwind","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,-123.4980133,45.9291511
"311","Joan Austin Elementary School","Yes","Newberg SD 29J","Willamette ESD","Public",0,0,NA,"Twin Rocks Friends Conference",NA,NA,NA,NA,-122.9682198,45.3168322
"312","John C Fremont Middle School","No","Douglas County SD 4","Douglas ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.37085,43.210738
"313","John Muir Elementary School","Yes","Ashland SD 5","Southern Oregon ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.686706,42.192639
"314","John Tuck Elementary School","Yes","Redmond SD 2J","High Desert ESD","Public",1,0,50,"Hancock Field Station","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-121.179847,44.278317
"315","Joseph Conger Elementary School","Yes","Klamath Falls City Schools","Southern Oregon ESD","Public",1,0,50,"Sun Pass State Forest","3","2",NA,NA,-121.796117,42.235004
"316","Joseph Lane Middle School","No","Douglas County SD 4","Douglas ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.345746,43.234552
"317","Judson Middle School","No","Salem-Keizer SD 24J","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.0453176,44.8892548
"318","Juniper Elementary School","Yes","Bend-La Pine Admin SD 1","High Desert ESD","Public",0,0,0,"Camp Tamarack, Hancock Field Station","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-121.2882812,44.064344
"319","Kalapuya Elementary School","Yes","Salem-Keizer SD 24J","Willamette ESD","Public",1,0,118,"Canyonview Camp","3","2",NA,NA,-123.0754558,44.9645161
"320","Kalmiopsis Elementary School","No","Brookings-Harbor SD 17C","South Coast ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-124.2836599,42.0596489
"321","Keating Elementary School","Yes","Baker SD 5J","InterMountain ESD","Public",0,1,3,"Elkhorn Wildlife Management Area","4","0","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-117.6119503,44.8896093
"322","Keizer Elementary School","No","Salem-Keizer SD 24J","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.0401349,45.0062631
"323","Kelso Elementary School","No","Oregon Trail SD 46","Clackamas ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.3068442,45.4204423
"324","Kennedy Elementary School","No","Salem-Keizer SD 24J","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.0074351,44.996274
"325","Keno Elementary School","Yes","Klamath County SD","Southern Oregon ESD","Public",0,1,19,"Coastal Discovery Center at Camp Gray","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-121.931269,42.125467
"326","Kids Unlimited Charter School","No","Medford SD 549C","Southern Oregon ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.8751627,42.3351279
"327","Kings Valley Charter School","Yes","Philomath SD 17J","Linn Benton Lincoln ESD","Public",0,1,14,"Coastal Discovery Center at Camp Gray","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-123.4329189,44.6946132
"328","Kingsview Christian School","No","None",NA,"Private",0,0,NA,NA,NA,NA,NA,NA,-124.2366415,43.3934105
"329","Knight Elementary School","Yes","Canby SD 86","Clackamas ESD","Public",0,1,52,"Camp Magruder","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.6981553,45.2653041
"330","KNOVA Learning Oregon (Reynolds Public Charter School)","Yes","Reynolds SD 7","Multnomah ESD","Public",0,1,39,"Camp Angelos","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.4737692,45.5174208
"331","L'Etoile French Immersion School","No","None",NA,"Private",0,0,NA,NA,NA,NA,NA,NA,-122.675125,45.4813193
"332","Lacomb School","Yes","Lebanon Community SD 9","Linn Benton Lincoln ESD","Public",0,1,21,"Camp Tadmor","5","4","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.7400959,44.5859943
"333","LaCreole Middle School","Yes","Dallas SD 2","Willamette ESD","Public",0,1,126,"Camp Tapawingo","2","1","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE SOME accommodations so our program is accessible for all students",-123.3011053,44.9231268
"334","Ladd Acres Elementary School","Yes","Hillsboro SD 1J","Northwest Regional ESD","Public",0,1,80,"Camp Magruder","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.9035147,45.5021184
"335","Lafayette Elementary School","No","Greater Albany Public SD 8J","Linn Benton Lincoln ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.0919696,44.6124978
"336","Lake Creek Learning Center","No","Eagle Point SD 9","Southern Oregon ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.6173445,42.4260839
"337","Lake Oswego Middle School","Yes","Lake Oswego SD 7J","Clackamas ESD","Public",0,1,295,"Cedar Ridge, Trickle Creek","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.7028822,45.4236705
"338","Lakeridge Middle School","Yes","Lake Oswego SD 7J","Clackamas ESD","Public",0,1,276,"Cedar Ridge, Camp Magruder","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.726563,45.3964204
"339","Lane Middle School","Yes","Portland SD 1J","Multnomah ESD","Public",0,1,99,"Camp Angelos, Camp Arrah Wanna, Canby Grove, Camp Howard","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.6014092,45.4713215
"340","La Pine Elementary School","Yes","Bend-La Pine Admin SD 1","High Desert ESD","Public",1,0,65,"Camp Tamarack","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-121.5055204,43.6797243
"341","Latham Elementary School","Yes","South Lane SD 45J3","Lane ESD","Public",1,0,20,NA,"3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-123.072712,43.764125
"342","Laurel Ridge Middle School","Yes","Sherwood SD 88J","Northwest Regional ESD","Public",0,1,159,"Camp Magruder","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.8639026,45.3648132
"343","Laurelhurst Elementary School","Yes","Portland SD 1J","Multnomah ESD","Public",0,1,72,"Camp Angelos, Camp Howard, Camp Namanu","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.61937,45.529196
"344","Lava Ridge Elementary School","Yes","Bend-La Pine Admin SD 1","High Desert ESD","Public",1,0,77,"Camp Tamarack","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-121.2821211,44.1066359
"345","Le Monde French Immersion Public Charter School","No","Portland SD 1J","Multnomah ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.6446069,45.5226259
"346","Lee Elementary School","Yes","Canby SD 86","Clackamas ESD","Public",0,0,NA,"Camp Magruder","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.685867,45.2544643
"347","Lee K-8 School","Yes","Portland SD 1J","Multnomah ESD","Public",0,1,42,"Camp Angelos, Camp Namanu","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.5675887,45.5378556
"348","Lenox Elementary School","Yes","Hillsboro SD 1J","Northwest Regional ESD","Public",0,1,57,"Trickle Creek","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.8940102,45.5580737
"349","Lent Elementary School","Yes","Portland SD 1J","Multnomah ESD","Public",0,1,54,"Camp Arrah Wanna, Camp Namanu","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.5637291,45.4853986
"350","Leslie Middle School","No","Salem-Keizer SD 24J","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.0236253,44.900336
"351","Lewis & Clark Elementary School","Yes","Astoria SD 1","Northwest Regional ESD","Public",1,0,150,"Camp Kiwanilong","1","0","Yes, and it CONNECTS TO STATE STANDARDS",NA,-123.843423,46.147525
"352","Lewis & Clark Elementary School","Yes","St Helens SD 502","Northwest Regional ESD","Public",0,1,107,"Cedar Ridge","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.8076924,45.8622957
"353","Lewis and Clark Montessori Charter School","Yes","Gresham-Barlow SD 10J","Multnomah ESD","Public",1,1,70,"Hancock Field Station","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.4329858,45.4978893
"354","Lewis Elementary School","Yes","Portland SD 1J","Multnomah ESD","Public",0,1,62,"Camp Magruder","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.6175088,45.4739834
"355","Liberty Elementary School","No","Greater Albany Public SD 8J","Linn Benton Lincoln ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.1182308,44.6191467
"356","Liberty Elementary School","No","Salem-Keizer SD 24J","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.0615322,44.8869293
"357","Life Christian School","Yes","None",NA,"Private",0,1,28,"Twin Rocks Friends Conference","3","2",NA,NA,-122.8950677,45.4797834
"358","Lighthouse Charter School","No","Coos Bay SD 9","South Coast ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-124.2003308,43.3540527
"359","Lincoln City Seventh-Day Adventist School","Yes","None",NA,"Private",0,1,5,"Big Lake Youth Camp","4","3","Yet, but it DOES NOT CONNECT TO STATE STANDARDS","We are ABLE TO MAKE SOME accommodations so our program is accessible for all students",-124.0018503,44.9800764
"360","Lincoln Elementary School","Yes","Corvallis SD 509J","Linn Benton Lincoln ESD","Public",1,0,42,"Coastal Discovery Center at Camp Gray","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-123.2649396,44.5447155
"361","Lincoln Elementary School","No","Woodburn SD 103","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.8598424,45.1514058
"362","Lincoln Middle School","No","South Lane SD 45J3","Lane ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.065079,43.7844774
"363","Lincoln Middle School","No","Oakland SD 1","Douglas ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.299088,43.43013
"364","Lincoln Savage Middle School","No","Three Rivers/Josephine County SD","Southern Oregon ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.3349153,42.3483851
"365","Lincoln Street Elementary School","Yes","Hillsboro SD 1J","Northwest Regional ESD","Public",0,1,81,"Trickle Creek","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.9767641,45.5243548
"366","Llewellyn Elementary School","Yes","Portland SD 1J","Multnomah ESD","Public",1,0,100,"Coastal Discovery Center at Camp Gray","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.6522168,45.477166
"367","Logos Public Charter School","No","Medford SD 549C","Southern Oregon ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.8639946,42.3209032
"368","London School","Yes","South Lane SD 45J3","Lane ESD","Public",1,0,45,"Grove Christian Camp","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-123.08446,43.6496629
"369","Lookingglass Elementary School","Yes","Winston-Dillard SD 116","Douglas ESD","Public",1,0,25,"Hancock Field Station","5","4","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE SOME accommodations so our program is accessible for all students",-123.487233,43.176983
"370","Lorna Byrne Middle School","Yes","Three Rivers/Josephine County SD","Southern Oregon ESD","Public",0,1,NA,NA,NA,NA,NA,NA,-123.6439551,42.1663061
"371","Lourdes School","No","Scio SD 95","Linn Benton Lincoln ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.6914384,44.7165568
"372","Luckiamute Valley Charter School","Yes","Dallas SD 2","Willamette ESD","Public",0,1,18,"Camp Tapawingo","3","2","Yet, but it DOES NOT CONNECT TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-123.4465524,44.7453094
"373","Lynch Meadows Elementary School","Yes","Centennial SD 28J","Multnomah ESD","Public",1,0,62,"Mazama Mountain Science School","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.4776367,45.5017218
"374","Lynch View Elementary School","Yes","Centennial SD 28J","Multnomah ESD","Public",1,0,69,"Mazama Mountain Science School","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.4881626,45.5113142
"375","Lynch Wood Elementary School","Yes","Centennial SD 28J","Multnomah ESD","Public",1,0,62,"Mazama Mountain Science School","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.4857925,45.4963538
"376","M A Lynch Elementary School","Yes","Redmond SD 2J","High Desert ESD","Public",1,0,73,"Camp Tamarack","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-121.182416,44.26609
"377","Ma'Ayan Ha Torah Day School","No","None",NA,"Private",0,0,NA,NA,NA,NA,NA,NA,-122.72,45.47
"378","Mabel Rush Elementary School","Yes","Newberg SD 29J","Willamette ESD","Public",1,0,93,"Twin Rocks Friends Conference","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.9508378,45.3107581
"379","Madrona Elementary School","Yes","Three Rivers/Josephine County SD","Southern Oregon ESD","Public",0,0,0,NA,"1","0","Yes, and it CONNECTS TO STATE STANDARDS",NA,-123.3631043,42.3623902
"380","Malabon Elementary School","No","Bethel SD 52","Lane ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.161169,44.0768265
"381","Malin Elementary School","Yes","Klamath County SD","Southern Oregon ESD","Public",1,1,40,"Coastal Discovery Center at Camp Gray","3","2","Yet, but it DOES NOT CONNECT TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-121.4111123,42.010226
"382","Maple Elementary School","No","Springfield SD 19","Lane ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.9922053,44.0544447
"383","Mari-Linn Elementary School","Yes","North Santiam SD 29J","Willamette ESD","Public",1,0,25,"Coastal Discovery Center at Camp Gray","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.617867,44.779324
"384","Martin Luther King Jr. School","Yes","Portland SD 1J","Multnomah ESD","Public",0,1,20,"Camp Namanu","5","4","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.6590884,45.5582344
"385","Marysville Elementary School","Yes","Portland SD 1J","Multnomah ESD","Public",0,1,34,"Camp Howard","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.583501,45.4870115
"386","Maupin Elementary School","Yes","South Wasco County SD 1","Columbia Gorge ESD","Public",0,1,18,"Wallowa Lake Camp","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-121.078461,45.176978
"387","May Roberts Elementary School","No","Ontario SD 8C","Malheur ESD Region 14","Public",0,0,NA,NA,NA,NA,NA,NA,-116.9712996,44.0334664
"388","McBride Elementary School","Yes","St Helens SD 502","Northwest Regional ESD","Public",0,1,90,"Cedar Ridge","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE SOME accommodations so our program is accessible for all students",-122.8386771,45.8558453
"389","McCornack Elementary School","Yes","Eugene SD 4J","Lane ESD","Public",1,0,64,"Camp Lutherwood Oregon","2","0","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-123.1442529,44.0384828
"390","McGovern Elementary School","Yes","Winston-Dillard SD 116","Douglas ESD","Public",0,0,NA,"Camp Myrtlewood","2","1",NA,NA,-123.423156,43.121746
"391","McKenzie Elementary School","Yes","McKenzie SD 68","Lane ESD","Public",1,1,30,"Camp White Branch","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.3617422,44.1514548
"392","Mckenzie Montessori Institute","No","None",NA,"Private",0,0,NA,NA,NA,NA,NA,NA,-122.9638098,44.0505489
"393","McKinley Elementary School","No","Beaverton SD 48J","Northwest Regional ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.8660415,45.5302191
"394","McLoughlin Middle School","No","Medford SD 549C","Southern Oregon ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.8821795,42.329026
"395","Mcminnville Adventist Christian School","Yes","None",NA,"Private",0,0,NA,NA,NA,NA,NA,NA,-123.2046981,45.2178495
"396","Mcminnville Montessori School","No","None",NA,"Private",0,0,NA,NA,NA,NA,NA,NA,-123.1877643,45.2078779
"397","McNary Heights Elementary School","No","Umatilla SD 6R","InterMountain ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-119.29573,45.9186972
"398","Meadow Park Middle School","Yes","Beaverton SD 48J","Northwest Regional ESD","Public",0,1,276,"Camp Magruder, Cedar Ridge","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.823981,45.514864
"399","Meadow View School","Yes","Bethel SD 52","Lane ESD","Public",1,0,90,NA,"3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-123.200759,44.079227
"400","Melrose Elementary School","No","Douglas County SD 4","Douglas ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.445029,43.242983
"401","Memorial Elementary School","No","McMinnville SD 40","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.2027958,45.2184855
"402","Memorial Middle School","No","Greater Albany Public SD 8J","Linn Benton Lincoln ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.1151728,44.6230748
"403","Merrill Elementary School","Yes","Klamath County SD","Southern Oregon ESD","Public",0,1,25,"Coastal Discovery Center at Camp Gray",NA,NA,NA,NA,-121.6051669,42.0258439
"404","Metro East Web Academy","No","Gresham-Barlow SD 10J","Multnomah ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.4407799,45.5075318
"405","Metropolitan Learning Center","Yes","Portland SD 1J","Multnomah ESD","Public",1,1,32,"Camp Namanu, Hancock Field Station","6","5","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.693621,45.5266463
"406","Mid-Columbia Adventist Christian School","Yes","None",NA,"Private",0,1,6,NA,"3","2",NA,NA,-121.5349224,45.7020007
"407","Miller Elementary School","Yes","Salem-Keizer SD 24J","Willamette ESD","Public",1,0,68,"Camp Cascade Conference and Retreat Center","3","2",NA,NA,-122.9664953,44.9105568
"408","Mills Elementary School","Yes","Klamath Falls City Schools","Southern Oregon ESD","Public",1,0,50,NA,"4","3",NA,NA,-121.765761,42.2242557
"409","Milton Stateline Sda School","Yes","None",NA,"Private",1,1,20,"Camp Mivoden","5","4","Yet, but it DOES NOT CONNECT TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-118.3952503,45.9743435
"410","Minter Bridge Elementary School","Yes","Hillsboro SD 1J","Northwest Regional ESD","Public",0,1,60,"Camp Magruder","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.963463,45.4969852
"411","Mitchell School","No","Mitchell SD 55","North Central ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-120.1470618,44.5646861
"412","Molalla Elementary School","Yes","Molalla River SD 35","Clackamas ESD","Public",1,0,62,"Jawbone Flats","2","1","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.59468,45.153543
"413","Molalla River Academy","Yes","Molalla River SD 35","Clackamas ESD","Public",0,0,NA,"Camp Magruder","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.5214192,45.1209621
"414","Monmouth Elementary School","No","Central SD 13J","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.223718,44.8529525
"415","Monroe Grade School","Yes","Monroe SD 1J","Linn Benton Lincoln ESD","Public",0,1,35,"Camp Tadmor","5","4","Yet, but it DOES NOT CONNECT TO STATE STANDARDS","We are ABLE TO MAKE SOME accommodations so our program is accessible for all students",-123.299253,44.312074
"416","Montessori School of Beaverton Ltd","Yes","None",NA,"Private",1,1,18,"Hancock Field Station","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.7904245,45.5474162
"417","Mooberry Elementary School","Yes","Hillsboro SD 1J","Northwest Regional ESD","Public",0,1,68,"Camp Magruder","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.9719572,45.5336864
"418","Morningside Elementary School","No","Salem-Keizer SD 24J","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.032219,44.904223
"419","Mosier Community School","Yes","North Wasco County SD 21","Columbia Gorge ESD","Public",0,1,26,"Coastal Discovery Center at Camp Gray","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-121.4004249,45.6831074
"420","Mountain View Academy","Yes","Lowell SD 71","Lane ESD","Public",1,1,28,"Newport, OR","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE SOME accommodations so our program is accessible for all students",-122.784531,43.917586
"421","Mountain View Middle School","Yes","Beaverton SD 48J","Northwest Regional ESD","Public",0,1,288,"Trickle Creek, Camp Magruder","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.8550695,45.4790856
"422","Mt Tabor Middle School","Yes","Portland SD 1J","Multnomah ESD","Public",0,1,237,"Camp Angelos, Camp Arrah Wanna, Canby Grove, Camp Namanu","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.6039884,45.5209786
"423","Mt View Elementary School","Yes","Corvallis SD 509J","Linn Benton Lincoln ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.238942,44.628146
"424","Muddy Creek Charter School","No","Corvallis SD 509J","Linn Benton Lincoln ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.3377789,44.4597765
"425","Multi-sensory Instruction Teaching Children Hands-On (MITCH)","Yes","Tigard-Tualatin SD 23J","Northwest Regional ESD","Public",0,1,18,"Camp Magruder","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE SOME accommodations so our program is accessible for all students",-122.7705162,45.3784602
"426","Multisensory Learning Academy","Yes","Reynolds SD 7","Multnomah ESD","Public",0,1,53,"Camp Angelos","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.4313235,45.536015
"427","Myers Elementary School","Yes","Salem-Keizer SD 24J","Willamette ESD","Public",1,0,74,"Canyonview Camp","3","2",NA,NA,-123.0764885,44.9456081
