School Name – City,School Name,District,ESD,Sister school,Street Address,City,State,Zip,County,Phone,Lowest grade,Highest grade,Grade level,Governance,Type of school,State ID,Contact person role,Contact person name,Email,ODS notes,"If your school is not listed above, please enter its name below.",Did your school participate in Outdoor School in the 2016-2017 school year?,How many students from your school participated in Outdoor School in the 2016-2017 school year?,Which grades participated in Outdoor School in the 2016-2017 school year?,Which camp or camps did students at your school attend for Outdoor School in the 2016-2017 school year?,How many DAYS does your Outdoor School program last?,How many NIGHTS does your Outdoor School program last?,Which provider(s) do you contract with to plan your Outdoor School experience?,Does your Outdoor School program have an academic component?,Who develops the curriculum that you use for Outdoor School?,"In addition to classroom teachers, who do you use to staff your Outdoor School program?",To what degree are you able to make accommodations to ensure that the Outdoor School program is accessible for all students?,How many years has your school sent students to Outdoor School?,Has your school sent students to Outdoor School prior to the 2016-2017 school year?,When was the last time that students participated in Outdoor School?,Which camp or camps did students attend the last time your school participated in Outdoor School?,Why did your school stop sending students to Outdoor School?,Is your school interested in starting an Outdoor School program in the future?,When do you think your might be ready to start an Outdoor School program?,"How familiar, if at all, are you with Measure 99, which passed in November 2016 and dedicates funding to schools to send students to Outdoor School?","How familiar, if at all, are you with the role that Oregon State Extension plays in funding Outdoor School programs?",Do you have any other comments about Outdoor School?,Notes,2015-16 Total Enrollment,2016-17 Total Enrollment,2016-17  Male,"2016-17 
% Male",2016-17 Female,"2016-17
% Female",2016-17 American Indian/ Alaska Native,"2016-17
% American Indian/ Alaska Native ",2016-17 Asian,"2016-17
% Asian ",2016-17 Native Hawaiian/ Pacific Islander,"2016-17 
% Native Hawaiian/ Pacific Islander ",2016-17 Black/African American,"2016-17
% Black/ African American ",2016-17 Hispanic/ Latino,"2016-17
% Hispanic/ Latino",2016-17 White,"2016-17 
% White ",2016-17 Multiracial,"2016-17
% Multiracial ",2016-17 Kindergarten,2016-17 Grade One,2016-17 Grade Two,2016-17 Grade Three,2016-17 Grade Four,2016-17 Grade Five,2016-17 Grade Six,2016-17 Grade Seven,2016-17 Grade Eight,2016-17 Grade Nine,2016-17 Grade Ten,2016-17 Grade Eleven,2016-17 Grade Twelve,Done,Sister school (opposite direction),lon,lat,MS,Good interview candidate
North Marion Middle School – Aurora,North Marion Middle School,North Marion SD 15,Willamette ESD,North Marion Intermediate School – Aurora,20246 Grim Rd NE,Aurora,OR,97002,Marion,503-678-7118,6,8,Middle,Public,Regular School,725,Principal,Barb Keeton,barb.keeton@nmarion.k12.or.us,,,Yes,126,6th grade,Camp Arrah Wanna,3,2,Multnomah County ESD,"Yes, and it CONNECTS TO STATE STANDARDS","School staff develop the curriculum, We use curriculum developed by an outside provider",Program provider staff,We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,20,,,,,,,SOMEWHAT FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,How will grey's grants be effected by measure 99?,,462,471,237,50.3%,234,49.7%,34,7.2%,2,0.4%,1,0.2%,,0%,158,33.5%,257,54.6%,19,4%,,,,,,,151,164,156,,,,,true,North Marion Intermediate School – Aurora,-122.7949683,45.2137719,,
North Middle School – Grants Pass,North Middle School,Grants Pass SD 7,Southern Oregon ESD,"Highland Elementary School – Grants Pass, Lincoln Elementary School – Grants Pass, Parkside Elementary School – Grants Pass, Riverside Elementary School – Grants Pass",1725 NW Highland Ave,Grants Pass,OR,97526,Josephine,541-474-5740,6,8,Middle,Public,Regular School,438,Principal,Tommy Blanchard,tmblanchard@grantspass.k12.or.us,,,Yes,240,6th grade,Sam Brown Campground,1,0,None,"Yes, and it CONNECTS TO STATE STANDARDS",School staff develop the curriculum,Parent volunteers,We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,40,,,,,,,SOMEWHAT FAMILIAR with Measure 99,A BIT FAMILIAR with the role OSU Extension plays,,,754,769,407,52.9%,362,47.1%,8,1%,12,1.6%,1,0.1%,4,0.5%,121,15.7%,582,75.7%,41,5.3%,,,,,,,249,258,262,,,,,false,"Highland Elementary School – Grants Pass, Lincoln Elementary School – Grants Pass, Parkside Elementary School – Grants Pass, Riverside Elementary School – Grants Pass",-123.3312858,42.4581277,,
North Plains Elementary School – North Plains,North Plains Elementary School,Hillsboro SD 1J,Northwest Regional ESD,,32030 NW North Ave,North Plains,OR,97133,Washington,503-844-1630,K,6,Elementary,Public,Regular School,1190,Principal,Rebecca Smith,smithb@hsd.k12.or.us,,,Yes,50,6th grade,Trickle Creek,3,2,Northwest Regional ESD,"Yes, and it CONNECTS TO STATE STANDARDS",,,,,,,,,,,,,,,299,327,182,55.7%,145,44.3%,3,0.9%,6,1.8%,,0%,3,0.9%,45,13.8%,251,76.8%,19,5.8%,42,43,54,50,45,46,47,,,,,,,true,,-123.00787,45.601793,Evergreen Jr High School,
North Powder Charter School – North Powder,North Powder Charter School,North Powder SD 8J,InterMountain ESD,,333  G  St,North Powder,OR,97867,Union,541-898-2244,K,12,Other,Public,Regular School,3365,Principal,Paul Woodworth,paul.woodworth@npowdersd.org,They work with Baker Schools,,Yes,25,6th grade,Elkhorn Wildlife Management Area,4,0,,,,,,,,,,,,,,,,,276,269,133,49.4%,136,50.6%,5,1.9%,,0%,,0%,2,0.7%,37,13.8%,223,82.9%,2,0.7%,12,16,15,23,19,23,24,24,25,20,25,20,23,false,,-117.9253841,45.0275745,,
Northwest Chinese Academy – Portland,Northwest Chinese Academy,,,,8565 SW Beaverton Hillsdale Hwy Ste 1,Portland,OR,97225,Washington,503-546-3455,PK,8,Other,Private,Regular School,,,,info@nwchineseacademy.org,,,No,,,,,,,,,,,,No,,,,I'm not sure,Not sure at this point,NOT AT ALL FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,As a Mandarin Immersion school we would need the program to be conducted in Mandarin to meet with our school mission.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,-122.7647438,45.4872311,,
Nyssa Elementary School – Nyssa,Nyssa Elementary School,Nyssa SD 26,Malheur ESD Region 14,Nyssa Middle School – Nyssa,809 Bower Ave,Nyssa,OR,97913,Malheur,541-372-3313,K,5,Elementary,Public,Regular School,702,Principal,Matthew Murray,mmurray@nyssa.k12.or.us,,,No,,,,,,,,,,,,,,,,,,,,,,533,549,296,53.9%,253,46.1%,,0%,1,0.2%,,0%,,0%,366,66.7%,168,30.6%,14,2.6%,94,90,92,85,98,90,,,,,,,,false,Nyssa Middle School – Nyssa,-117.003815,43.8776926,Nyssa Middle School,
Nyssa Middle School – Nyssa,Nyssa Middle School,Nyssa SD 26,Malheur ESD Region 14,Nyssa Elementary School – Nyssa,101 S 11th St,Nyssa,OR,97913,Malheur,541-372-3891,6,8,Middle,Public,Regular School,703,Principal,Luke Cleaver,lcleaver@nyssa.k12.or.us,,,No,,,,,,,,,,,,,,,,,,,,,,267,260,138,53.1%,122,46.9%,,0%,5,1.9%,,0%,,0%,163,62.7%,85,32.7%,7,2.7%,,,,,,,80,100,80,,,,,false,Nyssa Elementary School – Nyssa,-117.0037747,43.8776453,,
O'Hara Catholic Elementary School – Eugene,O'Hara Catholic Elementary School,,,,715 W 18Th Ave,Eugene,OR,97402,Lane,541-485-5291,PK,8,Elementary,Private,Regular School,,,,office@oharaschool.org,,,Yes,,6th grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,-123.1028978,44.0413205,,
Oak Creek Elementary School – Lake Oswego,Oak Creek Elementary School,Lake Oswego SD 7J,Clackamas ESD,Lake Oswego Middle School – Lake Oswego,55 Kingsgate,Lake Oswego,OR,97035,Clackamas,503-534-2323,1,5,Elementary,Public,Regular School,1288,Principal,Lilian Sarlos,lilian.sarlos@loswego.k12.or.us,,,Sister school did,,,,,,,,,,,,Yes,when we still had 6th graders,,6th grade went to middle school and LO does it during middle school,SOMEWHAT interested,Not sure at this point,SOMEWHAT FAMILIAR with Measure 99,A BIT FAMILIAR with the role OSU Extension plays,"I am currently a principal.  I used to teach.  I highly, highly valued outdoor school and took 5th graders to Opal Creek for two nights several years.  I am unsure how open this community would be to taking students to outdoor school in fifth grade.  We have a native plant garden and a food garden here, I would love to see students go to somewhere like Opal Creek.  I am open to discussion with my staff and parents about this.  I think Outdoor school is essential for children. I am a huge advocate for it and love the book by Louv, The Last Child in the Woods.  I support your work!  Thanks for doing this research.",,539,478,235,49.2%,243,50.8%,1,0.2%,104,21.8%,1,0.2%,3,0.6%,36,7.5%,281,58.8%,52,10.9%,,79,95,96,110,98,,,,,,,,false,Lake Oswego Middle School – Lake Oswego,-122.7294767,45.4271751,Lake Oswego Middle School,x
Oak Elementary School – Albany,Oak Elementary School,Greater Albany Public SD 8J,Linn Benton Lincoln ESD,Calapooia Middle School – Albany,3610 Oak St SE,Albany,OR,97322,Linn,541-967-4591,K,5,Elementary,Public,Regular School,643,Principal,Kelly Bussard,kelly.bussard@albany.k12.or.us,,,No,,,,,,,,,,,,,,,,,,,,,,352,336,164,48.8%,172,51.2%,3,0.9%,2,0.6%,,0%,3,0.9%,31,9.2%,281,83.6%,16,4.8%,48,53,60,55,61,59,,,,,,,,false,Calapooia Middle School – Albany,-123.0864966,44.6079661,Calapooia Middle School,
Oak Grove Elementary School – Albany,Oak Grove Elementary School,Greater Albany Public SD 8J,Linn Benton Lincoln ESD,North Albany Middle School – Albany,1500 Oak Grove Dr NW,Albany,OR,97321,Linn,541-967-4596,2,5,Elementary,Public,Regular School,639,Principal,Jerrie Matuszak,jerrie.matuszak@albany.k12.or.us,,,Yes,62,5th grade,Coastal Discovery Center at Camp Gray,4,3,OMSI,"Yes, and it CONNECTS TO STATE STANDARDS",OMSI,"Program provider staff, Parent volunteers",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,2,,,,,,,SOMEWHAT FAMILIAR with Measure 99,SOMEWHAT FAMILIAR with the role OSU Extension plays,,,255,261,139,53.3%,122,46.7%,,0%,2,0.8%,1,0.4%,1,0.4%,13,5%,229,87.7%,15,5.7%,,,65,47,85,64,,,,,,,,true,North Albany Middle School – Albany,-123.1482553,44.6570354,North Albany Middle School,
Oak Grove Elementary School – Medford,Oak Grove Elementary School,Medford SD 549C,Southern Oregon ESD,McLoughlin Middle School – Medford,2838 W Main St,Medford,OR,97501,Jackson,541-842-3830,K,6,Elementary,Public,Regular School,415,Principal,Elizabeth Landon,liz.landon@medford.k12.or.us,,,Yes,61,6th grade,Mountain Lakes Bible Camp,3,2,,,,,,,,,,,,,,,,,489,501,246,49.1%,255,50.9%,3,0.6%,2,0.4%,1,0.2%,5,1%,200,39.9%,264,52.7%,26,5.2%,78,89,75,69,70,63,57,,,,,,,false,McLoughlin Middle School – Medford,-122.9095265,42.3245036,McLoughlin Middle School,
Oak Grove Elementary School – Milwaukie,Oak Grove Elementary School,North Clackamas SD 12,Clackamas ESD,Alder Creek Middle School – Milwaukie,2150 SE Torbank Rd,Milwaukie,OR,97222,Clackamas,503-353-5520,K,5,Elementary,Public,Regular School,3342,Principal,Sid Ong,ongs@nclack.k12.or.us,,,Sister school did,,,,,,,,,,,,Yes,2006-2007 school year,"Camp Howard, Camp Westwind",The district moved our sixth grade students to middle school where they still go to outdoor school.,NOT AT ALL interested,"No, it is still provided to our 6th grade students who are at middle school.",VERY FAMILIAR with Measure 99,A BIT FAMILIAR with the role OSU Extension plays,,,441,401,214,53.4%,187,46.6%,3,0.7%,5,1.2%,1,0.2%,5,1.2%,78,19.5%,275,68.6%,34,8.5%,67,84,62,64,56,68,,,,,,,,false,Alder Creek Middle School – Milwaukie,-122.6420901,45.4242756,Alder Creek Middle School,
Oak Heights Elementary School – Sweet Home,Oak Heights Elementary School,Sweet Home SD 55,Linn Benton Lincoln ESD,Sweet Home Charter School – Sweet Home,605 Elm St,Sweet Home,OR,97386,Linn,541-367-7165,K,6,Elementary,Public,Regular School,666,Principal,Josh Dargis,josh.dargis@sweethome.k12.or.us,,,Yes,35,6th grade,Camp Tadmor,3,2,,"Yet, but it DOES NOT CONNECT TO STATE STANDARDS",We use curriculum developed by an outside provider,"Program provider staff, State agency or community resource experts (e.g. watershed council personnel or Fish & Wildlife staff), High school mentors",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,,,,,,,,SOMEWHAT FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,,,275,298,164,55%,134,45%,3,1%,,0%,,0%,,0%,20,6.7%,254,85.2%,21,7%,40,39,43,52,35,53,36,,,,,,,true,Sweet Home Charter School – Sweet Home,-122.7369404,44.3914143,Sweet Home Junior High School,
Oak Hill School – Eugene,Oak Hill School,,,,86397 Eldon Schafer Dr,Eugene,OR,97405,Lane,541-744-0954,K,12,Other,Private,Regular School,,,,office@oakhillschool.net,,,Yes,,,Camp Lutherwood Oregon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,-123.0269118,44.0078771,,
Oak Hills Elementary School – Beaverton,Oak Hills Elementary School,Beaverton SD 48J,Northwest Regional ESD,Meadow Park Middle School – Beaverton,2625 NW 153rd Ave,Beaverton,OR,97006,Washington,503-356-2410,K,5,Elementary,Public,Regular School,1171,Principal,Sheila Baumgardner,sheila_baumgardner@beaverton.k12.or.us,,,Sister school did,,,,,,,,,,,,,,,,,,,,,,574,586,292,49.8%,294,50.2%,1,0.2%,125,21.3%,3,0.5%,17,2.9%,51,8.7%,344,58.7%,45,7.7%,93,91,95,98,111,98,,,,,,,,false,Meadow Park Middle School – Beaverton,-122.8359728,45.5387169,Meadow Park Middle School,
Oaklea Middle School – Junction City,Oaklea Middle School,Junction City SD 69,Lane ESD,Territorial Elementary School – Junction City,1515 Rose St,Junction City,OR,97448,Lane,541-998-3381,5,8,Middle,Public,Regular School,596,Principal,Brian Young,byoung@junctioncity.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,520,504,270,53.6%,234,46.4%,4,0.8%,6,1.2%,1,0.2%,3,0.6%,52,10.3%,417,82.7%,21,4.2%,,,,,,112,142,125,125,,,,,false,Territorial Elementary School – Junction City,-123.21502,44.2266092,,
Oakridge Elementary School – Oakridge,Oakridge Elementary School,Oakridge SD 76,Lane ESD,,48119 E 1st St,Oakridge,OR,97463,Lane,541-782-3226,K,6,Elementary,Public,Regular School,600,Principal,Tiffany O'Donnell,todonnell@oakridge.k12.or.us,,,Yes,37,6th grade,Oakridge Fish Hatchery,3,2,We don't. It is a collaboration with local agencies.,"Yes, and it CONNECTS TO STATE STANDARDS","School staff develop the curriculum, We use curriculum developed by an outside provider","State agency or community resource experts (e.g. watershed council personnel or Fish & Wildlife staff), Parent volunteers, High school mentors",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,22,,,,,,,NOT AT ALL FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,,,298,309,161,52.1%,148,47.9%,4,1.3%,3,1%,3,1%,8,2.6%,24,7.8%,266,86.1%,1,0.3%,32,54,38,53,42,51,39,,,,,,,true,,-122.4656719,43.7486638,Oakridge Junior High School,
Obsidian Middle School – Redmond,Obsidian Middle School,Redmond SD 2J,High Desert ESD,"Sage Elementary School – Redmond, Vern Patrick Elementary School – Redmond",1335 SW Obsidian Ave,Redmond,OR,97756,Deschutes,541-923-4900,6,8,Middle,Public,Regular School,262,Principal,Tami Nakamura,tami.nakamura@redmondschools.org,,,,,,,,,,,,,,,,,,,,,,,,,613,612,318,52%,294,48%,5,0.8%,6,1%,1,0.2%,2,0.3%,151,24.7%,432,70.6%,15,2.5%,,,,,,,190,212,210,,,,,false,"Sage Elementary School – Redmond, Vern Patrick Elementary School – Redmond",-121.1824873,44.2632542,,
Ockley Green Middle School – Portland,Ockley Green Middle School,Portland SD 1J,Multnomah ESD,"Beach Elementary School – Portland, Peninsula Elementary School – Portland, Woodlawn Elementary School – Portland",6031 N Montana,Portland,OR,97217,Multnomah,503-916-5660,5,8,Middle,Public,Regular School,878,Principal,Rene Canler Acevedo,rcanler@pps.net,,,Yes,194,6th grade,"Camp Angelos, Camp Arrah Wanna, Canby Grove, Camp Howard, Camp Namanu",6,5,Multnomah County ESD,"Yes, and it CONNECTS TO STATE STANDARDS",Multnomah ESD,Program provider staff,We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,,,,,,,,,,,,608,624,318,51%,306,49%,8,1.3%,28,4.5%,27,4.3%,118,18.9%,143,22.9%,250,40.1%,50,8%,,,,,,80,213,186,145,,,,,false,"Beach Elementary School – Portland, Peninsula Elementary School – Portland, Woodlawn Elementary School – Portland",-122.6806994,45.5669644,,
Ogden Middle School – Oregon City,Ogden Middle School,Oregon City SD 62,Clackamas ESD,"Beavercreek Elementary School – Beavercreek, Holcomb Elementary School – Oregon City, Redland Elementary School – Oregon City",14133 S Donovan Rd,Oregon City,OR,97045,Clackamas,503-785-8300,6,8,Middle,Public,Regular School,116,Principal,Peter Danner,peter.danner@orecity.k12.or.us,,,Yes,291,6th grade,Camp Westwind,4,3,Northwest Regional ESD,"Yes, and it CONNECTS TO STATE STANDARDS",School staff develop the curriculum,"Program provider staff, High school mentors",We are ABLE TO MAKE SOME accommodations so our program is accessible for all students,25,,,,,,,VERY FAMILIAR with Measure 99,A BIT FAMILIAR with the role OSU Extension plays,,,832,834,397,47.6%,437,52.4%,3,0.4%,14,1.7%,5,0.6%,7,0.8%,84,10.1%,656,78.7%,65,7.8%,,,,,,,286,277,271,,,,,true,"Beavercreek Elementary School – Beavercreek, Holcomb Elementary School – Oregon City, Redland Elementary School – Oregon City",-122.5760902,45.3559986,,
Oliver Elementary School – Portland,Oliver Elementary School,Centennial SD 28J,Multnomah ESD,,15840 SE Taylor St,Portland,OR,97233,Multnomah,503-762-3207,K,6,Elementary,Public,Regular School,962,Principal,Jeb Hubbs,jeb_hubbs@centennial.k12.or.us,,,Yes,60,5th grade,Mazama Mountain Science School,3,2,Mazamas,"Yes, and it CONNECTS TO STATE STANDARDS",Mazamas,MESD staff,,,,,,,,,,,,,427,451,237,52.5%,214,47.5%,6,1.3%,40,8.9%,20,4.4%,53,11.8%,142,31.5%,173,38.4%,17,3.8%,82,56,74,74,50,59,56,,,,,,,false,,-122.5000647,45.5154401,Centennial Middle School,
Opal School of the Portland Children's Museum – Portland,Opal School of the Portland Children's Museum,Portland SD 1J,Multnomah ESD,Da Vinci Middle School – Portland,4015 SW Canyon Rd,Portland,OR,97221,Multnomah,503-471-9917,K,5,Elementary,Public,Charter School,3451,Principal,Beth  Hutchins,bhutchins@portlandcm.org,,,Yes,22,"3rd grade, 4th grade, 5th grade",Jawbone Flats,2,1,,"Yes, and it CONNECTS TO STATE STANDARDS",,Program provider staff,,,No,,,,SOMEWHAT interested,Not sure at this point,A BIT FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,,,88,88,45,51.1%,43,48.9%,,0%,,0%,1,1.1%,1,1.1%,10,11.4%,65,73.9%,11,12.5%,14,15,18,15,15,11,,,,,,,,false,Da Vinci Middle School – Portland,-122.7178683,45.5085095,da Vinci Middle School,
Open Door Christian Academy – Troutdale,Open Door Christian Academy,,,,27710 SE Strebin Rd,Troutdale,OR,97060,Multnomah,503-661-0606,PK,12,Other,Private,Regular School,,,,http://opendoorchristian.org/contact-us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,-122.378093,45.505289,,
Open School North – Portland,Open School North,Portland SD 1J,Multnomah ESD,,7602 N Emerald,Portland,OR,97217,Multnomah,503-978-1935,5,9,Other,Public,Alternative School,3021,Executive Director,Andrew Mason,,,,Yes,6,6th grade,Canby Grove,6,5,Multnomah County ESD,"Yes, and it CONNECTS TO STATE STANDARDS",Multnomah ESD,Program provider staff,We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,,,,,,,,,,,,41,48,26,54.2%,22,45.8%,2,4.2%,,0%,,0%,13,27.1%,8,16.7%,17,35.4%,8,16.7%,,,,,,,6,17,23,2,,,,false,,-122.6994765,45.5778805,,
Optimum Learning Environment Charter School – Keizer,Optimum Learning Environment Charter School,Salem-Keizer SD 24J,Willamette ESD,Whiteaker Middle School – Keizer,7905 June Reid Place NE,Keizer,OR,97303,Marion,503-399-5548,1,5,Elementary,Public,Charter School,3528,Principal,Marya Kalugin,KALUGIN_MARYA@salkeiz.k12.or.us,,,No,,,,,,,,,,,,,,,,,,,,,,129,130,66,50.8%,64,49.2%,1,0.8%,1,0.8%,,0%,1,0.8%,7,5.4%,114,87.7%,6,4.6%,,26,26,26,26,26,,,,,,,,false,Whiteaker Middle School – Keizer,-123.0199748,45.0337149,Whiteaker Middle School,
Orchard Hill Elementary School – Medford,Orchard Hill Elementary School,Phoenix-Talent SD 4,Southern Oregon ESD,Talent Middle School – Talent,1011 LaLoma Dr,Medford,OR,97504,Jackson,541-779-1766,K,5,Elementary,Public,Regular School,370,Principal,Brent Barry,brent.barry@phoenix.k12.or.us,,,,,,,,,,,,,,,Yes,2015-2016 school year,,,,,,,,,417,430,206,47.9%,224,52.1%,12,2.8%,6,1.4%,6,1.4%,11,2.6%,78,18.1%,301,70%,16,3.7%,83,67,79,72,64,65,,,,,,,,false,Talent Middle School – Talent,-122.8300726,42.3083844,Talent Middle School,
Oregon Connections Academy – Mill City,Oregon Connections Academy,Santiam Canyon SD 129J,Linn Benton Lincoln ESD,,833 NW Santiam Blvd,Mill City,OR,97360,Linn,503-897-2272,K,12,Other,Public,Charter School,4399,Principal,Allison Galvin,agalvin@connectionseducation.com,"Dan Prince: ""Did their first ODS last spring at Camp Tillicum. Contact Dan Vasen, vice principal"" Email might be: dvasen@connectionseducation.com",,Yes,,,Camp Tilikum,,,,,,,,,,,,,,,,,,,3763,3811,1806,47.4%,2005,52.6%,54,1.4%,67,1.8%,9,0.2%,59,1.5%,436,11.4%,2904,76.2%,282,7.4%,104,128,132,132,175,220,220,275,428,477,526,460,534,false,,-122.4871395,44.7575848,,
Oregon Episcopal School – Portland,Oregon Episcopal School,,,,6300 SW Nicol Rd,Portland,OR,97223,Washington,503-416-9379,PK,12,Other,Private,Regular School,,,,albricha@oes.edu,,,Yes,68,6th grade,"Camp Howard, Camp Namanu",6,5,"Multnomah County ESD, YMCA","Yes, and it CONNECTS TO STATE STANDARDS","School staff develop the curriculum, We use curriculum developed by an outside provider, We select classes that are based on our goals for the trip","Program provider staff,  Outdoor educators from Synergo, staff and alumni from the school, high school mentors",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,20,,,,,,,SOMEWHAT FAMILIAR with Measure 99,A BIT FAMILIAR with the role OSU Extension plays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,-122.7572274,45.4750387,,
Oregon School for the Deaf – Salem,Oregon School for the Deaf,Oregon Department of Education,Oregon Department of Education,,999-A Locust St NE,Salem,OR,97303,Marion,503-378-3825,K,12,Other,Public,OSB/OSD,1832,Director,Sharla Jones,sharla.jones@osd.k12.or.us,,,No,,,,,,,,,,,,No,,,,NOT AT ALL interested,We already conduct our own version tailored to the needs of our students,VERY FAMILIAR with Measure 99,VERY FAMILIAR with the role OSU Extension plays,"Because of the communication needs of all of our students, we conduct a wonderful program using Camp Taloali every year, to ensure our students have a similar experience, yet using our staff who use ASL directly.",,112,123,76,61.8%,47,38.2%,4,3.3%,4,3.3%,5,4.1%,8,6.5%,48,39%,49,39.8%,5,4.1%,1,7,3,1,2,10,7,6,4,18,9,12,43,false,,-123.0219593,44.965496,,x
Oregon Trail Academy – Boring,Oregon Trail Academy,Oregon Trail SD 46,Clackamas ESD,,36225 SE Proctor Rd,Boring,OR,97009,Clackamas,503-668-5541,,,Other,Public,Charter School,4820,Principal,Ginger Redlinger,ginger.redlinger@ortrail.k12.or.us,,,Yes,25,6th grade,Camp Namanu,3,2,Multnomah County ESD,"Yes, and it CONNECTS TO STATE STANDARDS",Multnomah ESD,Program provider staff,We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,,,,,,,,,,,,261,267,138,51.7%,129,48.3%,1,0.4%,12,4.5%,2,0.7%,1,0.4%,7,2.6%,232,86.9%,12,4.5%,27,27,27,27,27,27,26,27,25,16,11,,,false,,-122.289881,45.454818,,
Oregon Trail Elementary School – Clackamas,Oregon Trail Elementary School,North Clackamas SD 12,Clackamas ESD,Rock Creek Middle School – Clackamas,13895 SE 152nd Dr,Clackamas,OR,97015,Clackamas,503-353-5540,K,5,Elementary,Public,Regular School,4766,Principal,Kim Kellogg,kelloggk@nclack.k12.or.us,,,Sister school did,,,,,,,,,,,,,,,,,,,,,,427,502,255,50.8%,247,49.2%,2,0.4%,54,10.8%,3,0.6%,6,1.2%,57,11.4%,348,69.3%,32,6.4%,112,84,74,90,78,64,,,,,,,,false,Rock Creek Middle School – Clackamas,-122.5078367,45.4220869,Rock Creek Middle School,
Oregon Virtual Academy – North Bend,Oregon Virtual Academy,North Bend SD 13,South Coast ESD,,400 Virginia Ave Ste 210,North Bend,OR,97459,Coos,541-751-8060,K,12,Other,Public,Charter School,4690,Principal,Brandy Osborn,bosborn@k12.com,,,No,,,,,,,,,,,,,,,,,,,,,,1776,2084,1007,48.3%,1077,51.7%,41,2%,34,1.6%,7,0.3%,55,2.6%,236,11.3%,1559,74.8%,152,7.3%,81,121,110,109,130,136,140,186,213,174,201,222,261,false,,-124.2214074,43.4070721,,
Oregon Virtual Education – Hillsboro,Oregon Virtual Education,Scio SD 95,Northwest Regional ESD,,5825 NE Ray Cir,Hillsboro,OR,97124,Washington,,6,12,Other,Public,Charter School,5061,Director,Paul Peterson,ppeterson@nwresd.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,Change of Admin in 16-17 from Gaston SD ID 2245,33,12,36.4%,21,63.6%,,0%,3,9.1%,1,3%,,0%,2,6.1%,26,78.8%,1,3%,,,,,,,3,,2,3,6,9,10,false,,-122.9225989,45.5326059,,
Orenco Elementary School – Hillsboro,Orenco Elementary School,Hillsboro SD 1J,Northwest Regional ESD,,22550 NW Birch Street,Hillsboro,OR,97124,Washington,503-844-1370,K,6,Elementary,Public,Regular School,3160,Principal,Allison Combs,Combsa@hsd.k12.or.us,,,Yes,86,6th grade,Cedar Ridge,3,2,Northwest Regional ESD,"Yes, and it CONNECTS TO STATE STANDARDS",,,,,,,,,,,,,,,634,652,336,51.5%,316,48.5%,6,0.9%,93,14.3%,4,0.6%,14,2.1%,130,19.9%,337,51.7%,68,10.4%,110,89,107,89,102,70,85,,,,,,,true,,-122.9079916,45.5282932,J W Poynter Middle School,
Otto Petersen Elementary School – Scappoose,Otto Petersen Elementary School,Scappoose SD 1J,Northwest Regional ESD,,52050 SE 3rd St,Scappoose,OR,97056,Columbia,971-200-8003,4,6,Elementary,Public,Regular School,159,Principal,Whitney Hessong,whessong@scappoose.k12.or.us,,,No,,,,,,,,,,,,I'm not sure,,,,VERY interested,2017/2018 school year,SOMEWHAT FAMILIAR with Measure 99,A BIT FAMILIAR with the role OSU Extension plays,,,451,453,228,50.3%,225,49.7%,7,1.5%,11,2.4%,2,0.4%,1,0.2%,45,9.9%,372,82.1%,15,3.3%,,,,,160,135,158,,,,,,,false,,-122.8749777,45.7506771,Scappoose Middle School,
Our Lady Of The Lake School – Lake Oswego,Our Lady Of The Lake School,,,,650 A Ave.,Lake Oswego,OR,97034,Clackamas,503-636-2121,K,8,Other,Private,Regular School,,,,office@ollparish.com,Chose not to respond,,Yes,56,"5th grade, 6th grade","Trickle Creek, Coastal Discovery Center at Camp Gray",3,2,"Northwest Regional ESD, OMSI","Yes, and it CONNECTS TO STATE STANDARDS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,-122.6715435,45.419697,,
