Camp Name,Camp Owner,County,Website,Contact Name,Role,Email,Phone,Camp physical address,Camp mailing address,Do you currently provide facilities for outdoor school program(s)?,"If yes, please list school(s) and/or district(s) you serve:","If yes, list the number of weeks you provide & number of students served each school year:",Camp capacity follow-up: provided ODS in Spring 2016?,"If yes, is your camp utilized at full capacity? Or would you be able to host additional schools/providers?",Camp capacity follow-up: at full capacity?,Camp capacity follow-up comments,"If you do NOT currently provide facilities for outdoor school programs, have you done so in the past? ","If yes, please list schools and/or districts previously served, and when: ","If yes, why did you stop providing facilities for outdoor school programs? ","If you do NOT currently provide facilities to outdoor school programs, are you interested in doing so?","If no, please share your reason(s): ",Does your facility currently offer its own outdoor school program(s)?,"If yes, please describe your program(s). List web pages, if available: ","If yes, checkmark the academic standards with which the curriculum aligns (check all that apply):","Please list/explain any other specialty programming or resources your camp offers: (Art studio, blacksmithing, archery, etc.)","If you do not currently provide outdoor school programs, are you interested in doing so?","Does your camp have, or can it secure, liability insurance that meets the industry standard?",Does your camp provide program staff?,Does your camp provide a nurse or other health care professional?,Does your camp provide maintenance staff?,Does your camp provide food service staff?,Does your camp provide custodial/cleaning staff?,Is at least one of your staff (such as a caretaker) onsite at all times while camp is in session?,Camp acreage,Maximum overnight capacity,Maximum dining capacity,Does your camp have a commercial kitchen?,Dietary Needs?,Is your camp ACA accredited?,Please list any other accreditation:,Please checkmark the facilities at your camp that are ADA accessible: (Check all that apply),Are current/potential field study areas ADA accessible?,"If no, could reasonable accommodations be made to ensure all students can participate in field studies?",Please describe any accommodations needed:,"Please checkmark facilities that are weatherized (heat and insulation): (Check all that apply)

",Please checkmark your camp's bathroom facilities: (Check all that apply),Any additional information about your bathroom facilities:,Choose seasons your facility is/can be available for outdoor school: (Check all that apply),Any additional information about your seasonal availability:,Do you have sleeping units available for adult staff that are separate from student sleeping units?,"If yes, please describe: ","Other amenities/field study resources: Most outdoor school programs teach 4 field studies: water, soil, plants and animals. (Check all that apply) Ropes Course, Climbing wall, Pool, Forested Areas, Meadowland, Trails.",Campfire space(s)?,"If yes, how many and seating capacity of each campfire:","Access to water (lake, pond, river, stream, etc.)","If yes, please describe: ",Covered outdoor spaces?,"If yes, how many and dimensions: ",Other amenities/resources?,Please describe the other amenities/resources,Is there any other information about your facility you’d like us to know?,Please list any other camps in your region that might be interested in participating:,"To receive updates on the progress to fund and implement the Outdoor School Law, please list names and email(s) below:","Notes
","""Notes by Friends of Outdoor School
""",Schools,Coordinates,lon,lat,Schools
Camp St. Mary's,Rebecca Rawson,Hood River,,Becki Rawson,,rrawson@gorge.net,541-386-2510,,,No,,,,,,,,,,No (GFF),,NO (GFF),,,,,,,,,,,,,100 (GFF),No Kitchen Facilities (GFF),No (GFF),,,,,,,,,,,,,,,,,,,,,,,,,,,No evidence could be found that camp still exists or has been shut down.,Short 100 dining seats; sleeping units and campfire spaces are not ADA accessible,,,,,
Siskiyou Field Institute,Siskiyou Field Institute,Josephine,www.thesfi.org,Robin Hartmann,Executive Director,manager@thesfi.org,541-597-8530,"1241 Illinois River Rd, Selma, OR 97538","PO Box 207, Selma, OR 97538",Yes,"Three Rivers School District, Ashland School District",Overnight stays vary from 1 to 8 nights. Total students 1559,,"No, we are able to host additional schools",,,,,,,,Yes,please see our current catalog at ww.thesfi.org.  We have summer camps for middle school and high school.  Overnights for middle and elementary.  Wilderness backpacking and adult ed.,"Common Core State Standards, Oregon Science Standards (Next Generation Science Standards)",high and low ropes; wilderness backpacking,,Yes,Yes,No,Yes,No,Yes,Yes,"our Deer Creek Center is located on 850 acres of forest, meadow, creeks, mountain",70-75?,unlimited outdoor on lawn; pavillion 50-60,No,"vegetarian, gluten-free, vegan",Negotiable,not sure accreditations - will ask,"All sleeping units, Toilets, Showers, Campfire space(s), science classroom",Would need more information to determine,Would need more information to determine,,"Some sleeping units, Bathroom facilities, science classroom","Plumbed toilets in separate bathroom facility, Showers in separate bathroom facility",solar facilities. Also we're a quasi-municipal water supply.,"Spring, Summer, Fall",,Yes,"we have lodging facilities that are available for adult education, adult staff","Ropes course, Forested areas, Meadowland, Trails",Campfire space(s),30,"Access to water (lake, pond, river, stream, etc.)",two nice sized creeks with swimming holes and easy access from camping area,Covered outdoor spaces,30x60 shelterhouse,Other amenities/resources,two yurts,We partner with Oregon Caves National Monument to provide environmental education for local schools,,manager@thesfi.org,,Camp has been sold as of 2016. Updating information from current survey sent to new owners,"Talent Elementary School – Talent, The Valley School of Southern Oregon – Medford, Fleming Middle School – Grants Pass",,-123.6457614,42.2771453,
Kiwanis Camp Wa-Ri-Ki,Skamania County,"Skamania, WA",www.campwariki.com,Val Schaffroth,"Board Member, Operations",operations@campwariki.com,503 407 6209,"1701 Washougal River Rd., Washougal, Wa. 98671","PO Box 18 Washougal, Wa. 98671",No,,,No,,"NO, we could have hosted additional schools","We hosted  4 , one day outdoor school style events during the summer only. - July and August.",Yes,Evergreen Public Schools,Outdoor programs were cancelled in the district.,Yes,We are currently working toward weekend overnight programs for youths.,Yes,We participate in the Nature Explore Club program in Washington,"Not sure, We provide instruction in earth, water, plants, and animals with Nature Explore Club curriculum.","We have a craft room, gym, ball fields, camp fire areas, forested trails, river access, and archery area available. We also are 1 mile from a fish hatchery.",Yes,Yes,We hope to hire a part time program staff in 2017 to provide weekend outdoor programs for youth.,No,Yes,No,Groups and indiviuals are expected to clean facilities upon leaving. But we provide follow up personal to insure a clean facility.,Yes,22,170 individuals,200 in one sitting - table and chairs,Yes,"We have 2 cold storage areas, separate dry storage areas, and a freezer as well as commercial washer and dryer. I am sure special dietary needs can be accommodated.",No,,"All sleeping units, Toilets, Showers, Dining hall, Outdoor areas are not fully developed for easy ADA access but groups do bring ADA need individuals to camp.",We are not fully ADA at this time.,Yes,,"All sleeping units, Dining hall, Bathroom facilities, Craft room and gym are heated and comfortable.","Plumbed toilets in sleeping unit, Showers in sleeping unit",,"Winter, Spring, Fall",Currently our camp is full in July and August. We could work on a usage schedule as needed.,Yes,We have a retreat center that can sleep 10-20 individuals and the kitchen has a sleeping area for 6-10 individuals. Plus the dorms have upstairs sleeping for 10-15 individuals.,"Forested areas, Meadowland, Trails",Campfire space(s),The camp fire areas can accommodate any number of individuals. There is space for sitting and standing.,"Access to water (lake, pond, river, stream, etc.)",We are located on the Washougal River with direct access to the river or you can walk approximately a quarter mile to river access and falls.,Covered outdoor spaces,We have a full covered gym the size of a basketball court. We hope to develop a covered play area on the property in the next 5 yrs.,Other amenities/resources,We have amply parking for buses and support staff cars.,Our facility was a fire training camp for the county. We have a close relationship with the local volunteer fire department and they often provide us with fire trucks and lessons on fire fighting.,,"Val Schaffroth, operations@campwariki.com; Michael McNulty, president@campwariki.com",Campfire and field studies are not ADA accessible,,,,,,
Camp Nidaros,Sons of Norway,Clatsop,http://www.sofncamps.com/camps/camp-nidaros/,,,"info@sofncamps.com, 1stuffda@gmail.com",,"Camp Nidaros
Gearhart, OR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trails,,,Access to water,Ocean,,,,,,,,"Campground, main lodge building, four additional sleeping cabins","""Toilets, showers, campfire, dining hall are not ADA accessible; short 21 seats for dining; sleeping spaces are not weatherized""",,,-123.906884,45.99992,
Little River Christian Camp,Southern Oregon Association of Christian Churches,Douglas,http://www.lrcc.camp/,Archie Walker,Treasurer,,541-496-3249,"351 Christian Camp Lane, Glide OR 97423","PO Box 317, Winston OR 97496",,,,,,,,,,,,,,,,,,,,,,no,,,15-19,94,100,yes,,,,,,,,,"Showers in sleeping unit, Plumbed toilets in sleeping unit,",,,,,,"Forested areas, trails,",yes,,Access to water,river,,,,,,,,,** They are interested in hosting ODS. No access to natural water; does not have 4 ADA accessible sleeping units,,,-122.928859,43.243538,
YMCA Camp Silver Creek,State Parks of Oregon,Marion,http://theyonline.org/programs-services/camps/ymca-camp-silver-creek/,Jeff Lewis,Camp Director,jlewis@theyonline.org,503-588-4302,"19984 Silver Falls HWY SE, Sublimity, OR 97385","19984 Silver Falls HWY SE, Sublimity, OR 97385",No,,,,,,,No,,,Yes,,No,,,"Archery, Arts & Crafts Building, Pool, Boating",Yes,Yes,No,No,The camp park does.,Negotiable,No,Negotiable,unsure - big,150,100,Yes,"Vegetarian, Vegan, Gluten Free, Allergies",Yes,,"3 or less of sleeping units, Toilets, Dining hall, Campfire space(s)",Would need more information to determine,,,Some sleeping units,"Plumbed toilets in separate bathroom facility, Showers in separate bathroom facility",,"Spring, Fall",,Yes,,"Climbing wall, Pool, Forested areas, Meadowland, Trails",Campfire space(s),150,"Access to water (lake, pond, river, stream, etc.)",Small pond.,,,,,We rent the facility from the State Park,,,Sleeping units and showers are not ADA accessible; short 50 dining seats; dining hall and bathrooms are not weatherized,,,,,,
Camp Kuratli at Trestle Glen,The Salvation Army,Clackamas,campkuratli.org,Claudia Lewis,Office & Project Coordinator,claudia.lewis@usw.salvationarmy.org,503-637-5713,"24751 SE Highway 224, Boring, OR, 97009","24751 SE Highway 224, Boring, OR, 97009",Yes,Multnomah Education Service District,"9 weeks for 1,914 students",,"Yes, we are at full capacity",,,,,,,,no,,,Archery,,Maybe - need more information,No,no,yes,yes*,Negotiable,yes,180 acres,159,220,Yes,"Gluten Free, Dairy, Vegetarian, Vegan, Peanuts,",No,CCCA,3 or less of sleeping units,Would need more information to determine,,,"All sleeping units, Dining hall, Bathroom facilities, Gym, Meeting/Breakout rooms,","Plumbed toilets in separate bathroom facility, Plumbed toilets in sleeping unit, Showers in separate bathroom facility, Showers in sleeping unit",,"Winter, Spring, Fall",,Yes,"Three semi private lodging, total houses 26 people","Ropes course, Climbing wall, Forested areas, Meadowland, Trails",Campfire space(s),180,"Access to water (lake, pond, river, stream, etc.)",Pond and creek,Covered outdoor spaces,"3 all different sizes, largest being 30x60x10",,,,,Claudia Lewis - claudia.lewis@usw.salvationarmy.org,,,,,-122.410659,45.394361,
Alton L Collins  Retreat Center,The United Methodist Oregon/Idaho Conference,Clackamas,collinsretreatcenter.org,Todd Bartlett,Director,"alcrc@cascadeaccess.com, alcrc@rconnects.com",503-637-6411,"32867 SE Highway 211 Eagle Creek, OR 97022","32867 SE Hwy 211, Eagle Creek, OR 97022",,,,,,,,,,,,,,,,sports,,,,,,,,,68,46-66,120,yes,"With advance notice, we are able to accommodate almost any special dietary needs.",,,,,,,"All sleeping units, Dining hall, bathroom facilities","Plumbed toilets in sleeping unit, Showers in sleeping unit",,,,,,"trails, forested areas",,,Access to water,Deep Creek,,,,,,,,,(formerly Box R Ranch Outback - sold partial oin 12/15),,,-122.3287986,45.3727696,
Trout Creek Bible Camp,Trout Creek Bible Camp Interdenominational Independent Church,Multnomah,tcbc.com,Joe Fahlman,Executive Director,joe@tcbc.com,503-695-2948,"38105 SE Gordon creek rd Corbett, OR 97019",,,,,,,,,,,,,,,,,"archery, paintball, zipline, bb guns, canoes, go karts,",,,,yes*,,,,,,194,250,yes,"The camp kitchen is able to work with some dietary needs*. * A $20/10 per person surcharge will be assessed to meet special dietary requirements, not including nut and/or legume allergy.",,,,,,,"All sleeping units except treehouse, Dining hall, Bathroom facilities","Plumbed toilets in separate bathroom facility, Showers in separate bathroom facility",,,,,,"trails, climbing wall, pool,  meadowfield,",campfire space,300,Access to water,Creek,,,,,treehouse that sleeps 14,,,,,,,-122.2711634,45.4744938,
Camp Adams (Milk Creek),United Church of Christ,Clackamas,campadams.org,Jim Doane,Camp Manager,webmaster@campadams.org,503-829-2118,"18499 S Highway 211 
Molalla, OR 97038-7615",,,,,,,,,,,,,,,,,,,,,,,,,,216,177-317,140,yes,Food service proudly features local foods and is able to accommodate most special dietary needs.,,,toilets,,,,"All sleeping units, Dining hall, Bathroom facilities",Plumbed toilets in sleeping unit,,,,,,"meadowland, trails, Forested Areas",Campfire space(s),,"Access to water (lake, pond, river, stream, etc.)",at the convergence of Milk and Nate Creeks is the a large swimming hole.,,,,,,,,,Oregon Camp Cederbrook does not own the facilities they use; Camp Morrow does,,,,,
Suttle Lake Camp,United Methodist Church,Jefferson,www.gocamping.org,Jane Petke,Camp Director,suttle@gocamping.org,541-595-6663,"29551 Suttle Lake Rd, Sisters, OR, 97759","29551 Suttle Lake Rd, Sisters, OR, 97759",Yes,"Crook County Schools, some Bend-Lapine Schools and charter schools from the valley on a less regular basis","3-5 weeks, 240-560 students depending on the year",,"No, we are able to host additional schools",,,,,school funding has been an issue for ODS,,,No,,,"archery, boating, challenge course",Maybe - need more information,Yes,"seasonally for our own programs, but have worked with some schools in past as needed","seasonally for our own programs, utilizing volunteers",Yes,Yes,Yes,Yes,30,160,160,Yes,"We are able to accommodate nearly all dietary needs, especially if they are communicated in advance. We are experienced in accommodating diabetic, vegetarian, gluten-free, lactose intolerant, nut-free, and vegan needs. Most food allergies including peanuts, tree nuts, dairy, sugars, gluten, and more can be accommodated. Meals are mostly scratch cooking.",Yes,,More than 3/less than all sleeping units,"Some, but much of the terrain beyond the main camp area can be challenging but some are possible with some creativity",Some areas are on USFS land so there are limitations,"the right power chair can get almost anywhere, though sometimes mud or snow can be an additional barrier","Some sleeping units, Dining hall, Bathroom facilities, meeting rooms","Plumbed toilets in separate bathroom facility, Plumbed toilets in sleeping unit, Showers in separate bathroom facility, Showers in sleeping unit",,"Winter, Spring, Fall","We are in the mountains so the winter weather may be a challenge or a great opportunity, depending on the curriculum.  October, November, December, January, February, and March have the most mid-week possibilities though there are typically a week or two possible in April, May, early June, late August, and September.",Yes,"In additional to rustic cabins (typical student housing) there are two lodges with a total of 18 bedrooms ranging in size (sleeping 2, 4, 6, or 8 depending on configuration).  Bathrooms are down the hall.","Ropes course, Forested areas, Trails",Campfire space(s),"one with 160ish, one with 70ish, one with 40ish","Access to water (lake, pond, river, stream, etc.)",Suttle Lake and Lake Creek Lodge border the camp.  Melolius River and Jack Creek are a short drive (about 9 miles).,Covered outdoor spaces,2 pavilions 18'X24',Other amenities/resources,"play field, volleyball court, two gaga ball pits,",We are located in an amazing ecosystem in the Deschutes National Forest with rich study opportunities.  The surrounding area expands the possibilities too.  We are eager to hear what schools are needing to build / strengthen ODS and how we can be a suitable partner.,"Camp Magruder, Camp Latgawa, Wallowa Lake Camp (all United Methodist Camps in Oregon - www.gocamping.org),",Jane Petke - suttlelake@gocamping.org,,Sold,"Crook County Middle School – Prineville, Powell Butte Community Charter School – Powell Butte",,-121.7248633,44.4257596,
Cispus Learning Center,Washington School Principals' Education Foundation,Lewis (WA),http://www.awsplearningcenters.org/cispus,"Martin E. Fortin, Jr.",Director,fortin@awsp.org,360-497-7131,2142 Cispus Rd Randle WA 98377,2142 Cispus Rd Randle WA 98377,Yes,"Rainier, OR and Portland, OR.","2 weeks, 120",,"No, we are able to host additional schools",,,,,,,,No,,,"Challenge Course, Student Leadership Training",No,Yes,No,No,Yes,Yes,Yes,Yes,68,375,400,Yes,"Vegetarian, vegan, nuts, dairy, gluten. No written policy",No,,"More than 3/less than all sleeping units, Toilets, Showers, Dining hall, Campfire space(s), Challenge course",Yes,,,"All sleeping units, Dining hall, Bathroom facilities","Plumbed toilets in sleeping unit, Showers in sleeping unit",,"Winter, Spring, Summer, Fall",,Yes,mobile homes,"Ropes course, Forested areas, Meadowland, Trails",Campfire space(s),"1 for 200, 1 for 300, 1 indoor for 50, one for 20","Access to water (lake, pond, river, stream, etc.)",river and stream,Covered outdoor spaces,"1- 30' by 30', 1- 40' by 40', 1-10' by 10'",Other amenities/resources,"portable outdoor stage, 2 large playfields, full gym",Home of the Washington State Student Leadership Program,Washington,fortin@awsp.org,,,Hudson Park Elementary School – Rainier,,-121.848648,46.439924,
Camp Westwind,Westwind Stewardship Group,Lincoln,westwind.org,Matthew Taylor,Executive Director,matt@westwind.org,541-921-0316,"7500 Fraser Rd, Otis, Oregon 97368","PO Box 408, Otis Oregon, 97368",Yes,"Northwest ESD, Three Rivers Charter School (West Linn), Veritas/Catlin Gable/OES (private schools)",15 weeks; 1500 students,yes,"Yes, we are at full capacity with a waiting list of schools","YES, we were at full capacity","We do have capacity earlier in the spring, early in September, and later in the fall.",,,,,,No,,,"Archery, canoe/kayak (generally not offered by NWESD, but we are making it available), challenge course, marine biology/tide pools, art studio",,Yes,Negotiable,No,Yes,Yes,Yes,Yes,529 (450 conserved for wilderness),125,150,Yes,,Negotiable,,"3 or less of sleeping units, Toilets, Showers, Dining hall, Lodge",Would need more information to determine,,,"All sleeping units, Dining hall, Bathroom facilities","Plumbed toilets in separate bathroom facility, Showers in separate bathroom facility",,"Spring, Summer, Fall",We are interested in extending the season (earlier in late winter/spring; later in fall/early winter),Yes,"We have a seperate dormitory for staff/volunteers, along with various other adult only cabins","Ropes course, Forested areas, Meadowland, Trails",Campfire space(s),150,"Access to water (lake, pond, river, stream, etc.)",Mile of ocean front; 3 miles of riverfront,Covered outdoor spaces,Tillicum = 3000+ square feet,,,"We love outdoor school, and would love to see longer programming for students (with at least one day actually camping/off grid/away totally from electricity)",,,,"""Fort, boxcars, teepee""","Alder Creek Middle School – Milwaukie, Banks Elementary School – Banks, Blanchet Catholic School – Salem, Butte Creek Elementary School – Mt Angel, Central Howell Elementary School – Silverton, Christ the King School – Milwaukie, City View Charter School – Hillsboro, Edgewood Community Elementary School – Eugene, Ferguson Elementary School – Klamath Falls, Forest Hills Lutheran School – Cornelius, Happy Valley Middle School – Happy Valley, Henley Elementary School – Klamath Falls, Holy Trinity School – Beaverton, Jewell School – Seaside, Nestucca Valley Elementary School – Cloverdale, Ogden Middle School – Oregon City, Peterson Elementary School – Klamath Falls, Pilgrim Lutheran School – Beaverton, Renaissance Public Academy – Molalla, Rowe Middle School – Milwaukie, Sauvie Island Academy – Portland, Scotts Mills Elementary School – Scotts Mills, Sherwood Charter School – Sherwood, Springville K-8 School – Beaverton, St John The Apostle Catholic School – Oregon City, St Lukes School – Woodburn, St Matthew Catholic School – Hillsboro, Victor Point Elementary School – Silverton, Three Rivers Charter School – West Linn",,-123.9739559,45.0215886,"Hines Middle School – Hines, Ponderosa Middle School – Klamath Falls, John McLoughlin Elementary School – Oregon City, Oak Grove Elementary School – Milwaukie"
Wi-Ne-Ma Christian Camp,"Wi-Ne-Ma Christian Camp, Inc.",Tillamook,www.winema.org,Leroy Shepherd,Manager,winema@winema.org,503-392-3362,"5195 Winema Rd. Cloverdale, OR 97112","5195 Winema Rd. Cloverdale, OR 97112",No,,,No,,Our camp did NOT provide facilities for Outdoor School programs during Spring 2016,"When we hosted Outdoor Schools in the past we found it difficult to coordinate the Outdoor School schedule with our weekend guest group schedule. some program directors worked with us to coordinate when they needed to depart so we could turn around and set up for our guest groups.  In the same way, some gave us time to clean up from the weekend guest group and be ready for the staff to come in.  Other program directors pushed the envelope and acted as if we did not do anything else except host the Outdoor School program.",Yes,NW Educational Service District,They said they no longer needed our facility,No,,No,,,,No,Yes,No,No,Yes,Yes,Yes,Negotiable,100+,200,200,Yes,"Vegan, Vegetarian, Gluten Free, have dealt with a variety of allergies on a case by case basis",No,,"3 or less of sleeping units, Toilets, Showers, Dining hall, Campfire space(s)",Would need more information to determine,Yes,The group would need to provide equipment of personnel to help people access the natural areas of Camp,"All sleeping units, Dining hall, Bathroom facilities","Plumbed toilets in separate bathroom facility, Plumbed toilets in sleeping unit, Showers in separate bathroom facility, Showers in sleeping unit","All sleeping units have bathrooms, some also have showers.  There are also shower houses to serve the sleeping units without showers in them.","Winter, Spring, Fall","We need to have groups arrive no earlier than Monday afternoon, and depart before noon on Friday.  No accomodations for staff to stay over weekends.",Yes,Depends on how the program director decides to make use of the various buildings available.,"Forested areas, Trails",Campfire space(s),1 - 200,"Access to water (lake, pond, river, stream, etc.)","Wi-Ne-Ma Lake, Pacific Ocean",,,,,,,,Does not have 4 ADA accessible sleeping units,,,,,,
Wilderness Trails Inc,Wilderness Trails Inc,Jackson,http://wildernesstrails.net/,Chris Smith,Executive Director,csmith@wildernesstrails.net,541-772-2892,Wilderness Trails Inc,"PO Box 4655, Medford OR 97501",,,,,,,,,,,,,,,,"BBQ pit, tubing hill, horseshoe pits, canoeing,",,,,,,,,,160,"37 in lodge, 64 in teepees",36?,yes,,,,,,,,,Plumbed toilets in sleeping unit,,,,,,trails,campfire spaces,,Access to water,pond,,,,,,,,,,,,-110.6633544,44.0969023,
Camp Yamhill,"Yamhill Encampment Corporation, Church of Christ: operated by Camp Yamhill",Yamhill,campyamhill.org,Carol Davis,Program Manager,thunderbird.ods@gmail.com,503-662-3710,"19651 NW Old Railroad Grade rd Yamhill, OR 97148",,Yes,,,,,,,,,,,,Christian ODS,,,"canoeing, sports",,,,,,,,,240,276,500,yes,,No,Christian Camp & Conference Association Member,,,,,"All sleeping units, Dining hall, Bathroom facilities","Plumbed toilets in sleeping unit, Showers in sleeping unit",,,,yes,,"trails, climbing wall, ropes course, forested areas",Campfire spaces,500,Access to water,"river, pond,",,,,,,,,,,"Horizon Christian School – Hood River, Columbia Christian Schools – Portland, Portland Christian Schools – Portland, Faith Bible Christian School – Aloha, High Desert Christian Academy – Prineville, Spring Mountain Christian Academy – Clackamas, McMinnville Christian Academy – McMinnville, Santiam Christian School – Adair Village, Faith Christian School – Dallas",,-123.315165,45.361172,
YMCA Camp Greider,YMCA,Marion,http://theyonline.org/programs-services/camps/ymca-camp-greider/,George LaFramboise,Camp Dir,glaframboise@theyonline.org,,YMCA Camp Greider,,,,,Yes,,"NO, we could have hosted additional schools","Our camp is a little complicated however in the sense that it is a partnership between the YMCA and the 4H center. The 4H center owns all of the land, but the YMCA owns the structures that are built on the land. This of course meaning that all groups wanting to use the site have to go through the 4H center in order to do so. Additionally the Straub Environmental Center has recently launched some outdoor school programming and will be trying it out this upcoming year at camp Greider, and though right now will only be running a few weeks in the fall and spring, I believe they plan on expanding their programming to run longer in the future.  Hope this was helpful.",,,,,,,,,"two  archery ranges, a small pond, extensive hiking trails, a swimming  pool, and a large lodge",,,,,,,,,80,0,,,,,,,,,,,,,,,,,"waterfront for canoeing and kayaking, two archery ranges, miles of 
hiking trails, a heated pool, and lodge for arts & crafts and 
inclement weather.",,,,,,,,,,,,Day camp only. At same facility as 4-H*****,Closed,,,-123.0335351,44.9405055,
YMCA Camp Collins,YMCA of Columbia-Willamette,Multnomah,www.ymcacw.org,Brian White,Group Services Director,blwhite@ymcacw.org,503-663-5523,"3001 SE Oxbow Parkway, Gresham, OR 97080","3001 SE Oxbow Parkway, Gresham, OR 97080",Yes,Multiple private schools,"5 weeks, 500 students",,,,,,,,,,Yes,"Program and instructors, counselors are recruited by schools",We are working on this,"Archery, low and high ropes, outdoor skills",Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,135,250,320,Yes,All except for separate gluten free space for celiac,Yes,,"More than 3/less than all sleeping units, Toilets, Showers, Dining hall, Campfire space(s)",Would need more information to determine,Yes,Accessing river and narrow trails.,"All sleeping units, Dining hall, Bathroom facilities","Portable chemical toilets, Plumbed toilets in separate bathroom facility, Plumbed toilets in sleeping unit, Showers in separate bathroom facility",,"Winter, Spring, Fall",,Yes,,"Ropes course, Climbing wall, Forested areas, Trails",Campfire space(s),"90, 300","Access to water (lake, pond, river, stream, etc.)",Sandy River,Covered outdoor spaces,"1, 600 square feet",Other amenities/resources,Indoor activity spaces,,,"Brian White, blwhite@ymcacw.org",,,Howard Street Charter – Salem,,-122.3070892,45.5016626,
Washington Family Ranch,Young Life,Wasco,www.washingtonfamilyranch.org,Erin Bryner,Guest Group Communications,ebryner@wfr.younglife.org,541-489-3100,"One Muddy Rd., Antelope, OR 97001","PO Box 220, Antelope, OR 97001",Yes,Riverdale High School; Jefferson County; Wasco County,1 currently (more in the past); 120 students and leaders,,"No, we are able to host additional schools",,,Yes,Corbett High School,School funding decrease,,,No,,,"We are a camp and retreat facility during the school season. We host church groups, family camps, and youth events including school activities, grad parties, and retreats",Maybe - need more information,"We do have insurance, but would require an entity 'renting' our faclities to provide event insurance as well",No,No,Yes,We provide the leadership team and require that every group with food service options to bring volunteers to help 'serve' meals.  1:10 ratio of dining guests is required,Yes,Yes,64000,900,800 (does not include work staff who eat separate from campers),Yes,"gluten free, dairy free, vegan, vegetarian",No,We have ropes elements that are AE certified,"More than 3/less than all sleeping units, Toilets, Showers, Dining hall, Campfire space(s)",Yes,Yes,,"All sleeping units, Dining hall, Bathroom facilities, Activities areas and meeting rooms",Plumbed toilets in sleeping unit,,"Winter, Spring, Fall","August is available in the summer, but June and July are not",Yes,,"Ropes course, Climbing wall, Pool, Meadowland, Trails",Campfire space(s),we have mobile fire pits on our beach area; beach wall only for seating,"Access to water (lake, pond, river, stream, etc.)",We have a small pond with water activities and a pool.  At our smaller camp we have a water park with slides,,,Other amenities/resources,"Sports complex with climbing walls, skate park, multiple sports courts, game area and cafe (indoors); we also have a snack bar and store on site and multiple smaller indoor meeting areas","We'd love to host mid-week or weekend events. Our June and July seasons are unavailable with Young Life camping, but the rest of the year is flexible","Breakaway Lodge - Gearheart, OR (www.younglife.org)",Erin Bryner; ebryner@wfr.younglife.org,,,Trinity Lutheran School – Bend,,-120.5115219,44.8500932,
Young Life Breakaway Lodge,Young Life,Clatsop,https://breakaway.younglife.org/Pages/default.aspx,,,,503-717-9261,"220 Nita Ave Gearhart, OR, 97138-2685","PO Box 2685  Gearhart, OR 97138",,,,,,,,,,,,,,,,sports,,,,no,,,,,,80,80,yes,We can accommodate most special diets with advanced notice.,,,Other: Handicap Parking and Wheelchair Access,,,"They are planning this development: The Cannery Bathroom Remodel to ADA Standards ($50,000)","All sleeping units, Dining hall, Bathroom facilities","Plumbed toilets in separate bathroom facility, Showers in separate bathroom facility",,,,,,trails,,,Access to water,Ocean- not safe for swimming,,,,,,,,,,,,-123.9233478,46.0227482,
Breitenbush Hot Springs Retreat and Conference Center,,Marion,https://breitenbush.com/index.html,,,office@breitenbush.com,503.854.3320,Breitenbush Hot Springs Retreat and Conference Center,"PO Box 578 Detroit, OR 97342",,,,,,,,,,,,,,,,"steam sauna, massages, sustainable off the grid",,,,,,,,,154,100 (GFF),,Yes,"cuisine is organic and vegetarian. You may request egg-free, dairy-free and gluten-free* meals when you register (trace amounts of gluten are possible).",,,3 or less of sleeping units,,,"We have a limited number of wheelchair-accessible rooms and cabins. The workshop spaces in the lodge are accessible by ramp. However, we are a rustic retreat center located in the forest. The distances between the cabins, lodge (for meals), hot springs and workshop spaces can be up to several hundred yards on hard-packed gravel paths or snow in winter. There is some uneven terrain and a steep grade to the Spiral Tubs and River Yurt.","All sleeping units, Dining hall, Bathroom facilities","Plumbed toilets in sleeping unit, Showers in separate bathroom facility, Showers in sleeping unit, Plumbed toilets in separate bathroom facility",,,,,,"trails, forested areas",,,access to water,river and hot springs,,,,,,,,,,,,,,
Camp Cascade Conference and Retreat Center,,Marion,http://campcascade.net/,,,"info@campcascade.net, camps@campcascade.net",503.897.3286,"33806 N Fork Rd
Lyons, OR 97358",,Yes,,"15 weeks, roughly 300- 400 students",,"No, we are able to host additional schools",,,,,,,,no,,,sports,,yes,no,no,yes,yes,yes,,,238,162,yes,"two week prior notification for dietary accomidations, vegan vegetarian, gluten free.",,,"All sleeping units
 Toilets
 Showers
 Dining hall
 Campfire space(s)",yes,,,"All sleeping units, Dining hall, Bathroom facilities","Plumbed toilets in sleeping unit, Showers in sleeping unit,",,spring fall,,yes,"staff dorm, 4 rooms, 2 bunks in each room and overflow bunk rooms","trails, forested areas",campfire spaces,120,access to water,Santiam River,,,,,,,,,Sleeping units are not weatherized,"Miller Elementary School – Salem, Clear Lake Elementary School – Keizer, Yoshikai Elementary School – Salem, Sumpter Elementary School – Salem, Auburn Elementary School – Salem",,-122.381558,44.8265781,
